Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),"Maternal mortality ratio (national estimate, per 100,000 live births)",Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Afghanistan,AFG,93.4,,1125367.0,,,-1.502880573,6.4,,14.20841885,1.852781994,,-1.501345396,0.4,0.393489242,72.0,72.0,71.0,16.8,0.626149149,6.743572835,2598000.0,,63.081,,1.95,,,59.90264778,,-47205.0,76.22302246,,0.304,-2.753262043,73.3,65.2,57.6,17.3,24.0,88.73551941,0.0,,,48.78979,,72228.0,-1.138203621,,-1.688586712,,49.845,4.1,68.448803,54.647829,32580.49106,71.4,,-1.007052064,,
Albania,ALB,100.0,296.5405851,303137.0,87921000000.0,46.0,-0.545840263,11.3,93.8843689,6.66844559,28.7919708,30.1,0.080650173,2.84,0.628666282,99.0,99.0,94.0,65.4,2.028059631,2.294045943,2435166.6666666665,5.9325,79.184,,2.66,,,94.36446759,0.3,-9106.0,56.41465378,89.04618073,2.163,0.366642982,5.3,88.4,37.1,10.0,4.1,105.7085571,14.0,,27.85714286,17.57287,,132.0,0.256079823,2.5,-0.414187849,26.614,77.59666667,4.5,91.939293,85.765544,9671.388481,37.3,12.304,0.188694432,61.9,83.7
Algeria,DZA,99.6,235.34707479999997,6442442.0,450615750000.0,47.135714285714286,-0.658660114,11.8,95.7427063,6.38729763,0.810331602,35.4,-0.488373935,2.985,0.531993926,91.0,91.0,80.0,49.0385,4.269990205,1.354735386,2272333.3333333335,8.0,76.066,81.40783691,2.45,,,112.4675177,12.025000000000002,-36227.0,31.57363319,91.55725098,1.732,-0.84212178,17.17042,87.9357142857143,17.6,9.3,2.5,102.6879883,8.1,,25.75757576,24.32018,4016.25,94341.0,-1.346901417,29.5,-0.807303429,25.348833333333335,52.745,2.5,86.97482,82.77979,274181.7018,66.1,11.790166666666668,-0.995128453,63.79230769230769,81.96428571428572
American Samoa,ASM,99.8,174.1535645,4800504.0,813310500000.0,48.27142857142857,1.780909538,12.5,97.6010437,6.8813574299999996,85.95,40.7,0.498739511,3.13,0.47472626999999995,95.0,94.5,89.5,42.359,9.38963946,26.84619197,2109500.0,12.22566801,71.42533333333333,80.83124952692307,2.316666666666667,,,111.30021400000001,23.750000000000004,-1652.0,21.95597076,79.85951233,1.225,1.166080236,32.307296666666666,87.47142857142858,35.099999999999994,14.2,6.733333333333333,84.69858552,12.566666666666666,,28.95021645,17.408875000000002,6786.2,76179.33333333333,-0.306241989,36.36666666666667,1.296713471,24.083666666666666,53.57402777666667,3.666666666666667,82.951049,72.356987,137399.55787599998,60.43333333333333,11.276333333333334,0.026096611999999908,65.68461538461538,80.22857142857143
Andorra,AND,100.0,112.9600542,3158566.0,1176005250000.0,49.40714285714286,1.179165602,13.200000000000001,99.4593811,7.37541723,34.04255319,46.0,1.879265428,3.275,0.417458614,99.0,98.0,99.0,35.6795,14.509288715,22.263058226666665,1946666.6666666665,16.45133602,66.78466666666667,80.25466214384615,2.183333333333333,,,110.1329103,35.475,1184.0,12.33830833,68.16177368,0.718,1.391008735,47.44417333333333,87.00714285714287,52.599999999999994,19.1,10.966666666666667,66.70918274,17.03333333333333,,32.14285714,10.49757,9556.15,58017.666666666664,1.187329054,43.233333333333334,1.536625862,22.8185,54.40305555333333,4.833333333333334,94.634604,90.793387,617.413952,54.766666666666666,10.7625,1.047321677,67.57692307692308,78.49285714285715
Angola,AGO,45.3,51.7665439,1516628.0,1538700000000.0,50.542857142857144,-1.199250937,13.9,98.78647613333334,2.58879566,54.31740595,51.3,-1.005115032,3.42,0.360190958,63.0,63.0,50.0,29.0,19.62893797,17.67992448333333,1783833.3333333333,20.67700403,62.144,79.67807476076923,2.05,,,42.49094914,47.2,61632.0,36.2641983,76.72974904333333,0.211,-0.347750902,62.58105,86.54285714285714,70.1,24.0,15.2,85.57681271999999,21.5,5.18,30.45454545,11.451605,12326.099999999999,39856.0,-0.800683141,50.1,-1.000932217,21.553333333333335,55.23208333,6.0,65.186505,53.916247,74848.14556,49.1,10.248666666666667,-0.903365195,69.46923076923076,76.75714285714285
Antigua and Barbuda,ATG,100.0,45.269637349999996,580174.1568,962875000000.0,51.67857142857143,0.236239702,8.7,98.11357116666666,4.84869289,18.75,46.5,-0.053470802,3.565,0.57821697,95.0,95.0,96.0,79.6,1.207157934,13.09679074,1621000.0,8.976532,78.511,79.10148737769231,2.4699999999999998,,,87.21405882,24.150000000000002,0.0,23.66021156,85.29772440666667,0.9182,0.822919726,44.51894,86.07857142857144,52.949999999999996,18.45,9.3,104.4444427,25.6,5.056,11.11111111,12.40564,15096.05,21649.0,0.401309967,28.45,0.376565635,20.28816666666667,60.2525,0.4,88.9027,81.258541,1185.478236,42.8,9.734833333333334,0.579138517,71.36153846153846,75.02142857142857
Argentina,ARG,100.0,38.7727308,18084553.0,387050000000.0,52.81428571428572,-0.098668173,5.3,97.4406662,10.29146862,10.52037315,41.7,0.028094053,3.71,0.617366731,86.0,86.0,94.0,77.7,1.863695877,5.367725685,1458166.6666666665,48.51666667,76.999,78.52489999461538,2.89,,,131.9371685,1.1,4690.0,25.13258934,93.86569977,1.6254000000000002,0.006809914,26.456829999999997,85.61428571428571,35.8,12.9,3.4,100.2818069,3.9,4.9319999999999995,38.91050584,13.912115,17866.0,3442.0,-0.195977628,6.8,-0.219662562,19.023,65.27291667,9.2,87.744382,77.969309,378187.3624,106.0,9.221,0.539418399,73.25384615384615,73.28571428571429
Armenia,ARM,99.9,36.37340238,53259.0,275492000000.0,53.95,-0.40889135,0.8,96.30371284499999,10.01,11.55216017,34.4,-0.170385882,4.28,0.581725955,92.0,92.0,95.0,68.2451,2.52023382,1.762700344,1295333.3333333333,12.79304193,75.064,77.94831261153846,2.61,,,126.1831509,1.3,-25835.0,84.28,95.9681778,2.3326,-0.451120526,8.39472,85.15,14.8,1.1,2.5,100.2370682,17.6,4.808,18.0952381,15.41859,698.4,17966.0,0.350590289,9.6,-0.19733353,24.746,82.39041667,2.1,88.967844,71.286835,9443.729713,18.5,10.589,-0.130894393,75.14615384615385,71.55
Aruba,ABW,100.0,37.94130882,274280.0,162738000000.0,55.08571428571429,1.207429409,0.75,95.16675949,10.034859545,2.333333333,34.349999999999994,1.013473153,5.276666666666666,0.6812799575,93.5,93.5,94.5,79.12254999999999,3.626041414,1.323717691,1132500.0,6.0,76.072,77.37172522846154,3.1799999999999997,,,118.41754025,1.75,367.0,50.262136115000004,97.23671468333333,3.0398,1.337275505,14.697384285714286,84.6857142857143,14.05,2.45,2.5,99.40937298,21.8,4.684,23.380952385,15.4213975,2117.266666666667,37450.0,0.846328259,4.85,1.259411931,17.0825,85.37729167,7.25,88.851646,79.37593,325859.79370650003,32.95,7.9445,1.282692909,77.03846153846153,69.81428571428572
