Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],,,,,,,,,,,,,,,,,,
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,99.7,99.9,100,100,100,100,100,100,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,50.2,..,..,48.71,..,..,..,71.63,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,38.58560335,..,37.84584176,39.68798911,38.7727308,39.04418575,39.30133787,36.56051927,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Air transport, passengers carried",IS.AIR.PSGR,12121912.82,14245183,15076354,16749271,18084553,19461377,3680874,6708097,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Compensation of employees (current LCU),GC.XPN.COMP.CN,1.38384E+11,1.87407E+11,2.56289E+11,3.16033E+11,3.8705E+11,5.31295E+11,6.83039E+11,1.0684E+12,1.9792E+12,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,70.1,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.549443066,-0.580868721,-0.298964888,-0.308798343,-0.098668173,-0.106940247,-0.163780659,-0.422272921,-0.447030485,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,17.7,11.4,10.8,10.4,5.3,5,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,93.02700806,89.2270813,89.19338226,89.09375763,97.4406662,98.22975922,98.14528656,95.900177,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.04194355,10.34701538,9.70880699,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488,10.40076395,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,87.72240748,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gini index,SI.POV.GINI,41.8,..,42.3,41.4,41.7,43.3,42.7,42.4,40.7,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.110760383,-0.049351051,0.219068825,0.135000482,0.028094053,-0.120677568,-0.253818214,-0.389672071,-0.282877296,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.86,4.97,4.97,5.02,3.71,3.71,3.2,3.34,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,0.611,0.617366731,..,0.602144718,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,94,94,92,86,86,83,74,81,81,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,94,94,92,86,86,83,74,81,81,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,89,90,89,94,86,77,86,83,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,7.537819838,6.558466154,6.011233587,5.259380765,5.367725685,5.155823421,5.366813844,4.622678556,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Lending interest rate (%),FR.INR.LEND,24.00916667,24.91583333,31.2325,26.58083333,48.51666667,67.25416667,29.3875,35.55833333,52.39916667,95.89416667,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,2.986475,..,2.962629,..,2.89,..,..,..,2.8,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Losses due to theft and vandalism (% of annual sales for affected firms),IC.FRM.CRIM.ZS,..,..,..,1.8,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,38,32,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,11.4,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,0.6,..,0.7,0.6,1.1,1.1,1.2,0.9,0.6,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net migration,SM.POP.NETM,5801,5522,5215,4926,4690,4478,2344,2344,3886,3718,,,,,,,,,,,,,,,,,,
Argentina,ARG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,27.04210854,25.93237305,27.00738144,21.28657913,25.13258934,23.94149971,21.75679016,22.36627579,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,95.28983307,97.47601318,94.00437927,94.20748901,93.86569977,94.41851807,96.51191711,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,3.973,3.987,3.979,..,4.0685,3.895,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,98.31406401,98.02192869,94.13945992,93.85282467,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.005121871,0.008764135,0.197749898,0.162541434,0.006809914,-0.097864307,-0.072026245,0.000468279,-0.009163282,..,,,,,,,,,,,,,,,,,,
