Country Name,Country Code,Mobile cellular subscriptions (per 100 people)_2018,Mobile cellular subscriptions (per 100 people)_2019,Mobile cellular subscriptions (per 100 people)_2020,Mobile cellular subscriptions (per 100 people)_2021,Mobile cellular subscriptions (per 100 people)_2022,Access to electricity (% of population)_2018,Access to electricity (% of population)_2019,Access to electricity (% of population)_2020,Access to electricity (% of population)_2021,Access to electricity (% of population)_2022,Individuals using the Internet (% of population)_2018,Individuals using the Internet (% of population)_2019,Individuals using the Internet (% of population)_2020,Individuals using the Internet (% of population)_2021,Individuals using the Internet (% of population)_2022,Statistical performance indicators (SPI): Overall score (scale 0-100)_2018,Statistical performance indicators (SPI): Overall score (scale 0-100)_2019,Statistical performance indicators (SPI): Overall score (scale 0-100)_2020,Statistical performance indicators (SPI): Overall score (scale 0-100)_2021,Statistical performance indicators (SPI): Overall score (scale 0-100)_2022
Afghanistan,AFG,59.90264778,59.78387904,58.1902139,56.55443457,,93.4,97.7,97.7,97.7,85.3,16.8,17.6,18.4,,,49.845,49.75625,54.39666667,58.01416667,58.01416667
Albania,ALB,94.36446759,91.51642864,91.35050062,92.31992041,97.88570679,100.0,100.0,100.0,100.0,100.0,65.4,68.5504,72.2377,79.3237,82.6137,77.59666667,75.38291667,82.98416667,83.44041667,83.41875
Algeria,DZA,112.4675177,106.3696091,104.842178,106.4235366,109.1653573,99.6,99.5,99.7,99.8,100.0,49.0385,58.9776,60.6534,66.2356,71.2432,52.745,55.14916667,53.40625,63.97083333,63.16083333
American Samoa,ASM,111.300214,110.7598278,104.1456707,112.5482564,125.6897392,99.8,99.75,99.85,99.9,100.0,42.359,74.84815,76.9295,80.06655,82.86435,53.57402777666667,55.08138889,54.99194444333333,60.91041666333333,59.92874999666667
Andorra,AND,110.1329103,115.1500465,103.4491634,118.6729762,142.2141211,100.0,100.0,100.0,100.0,100.0,35.6795,90.7187,93.2056,93.8975,94.4855,54.40305555333333,55.01361111,56.57763888666667,57.84999999666667,56.69666666333334
Angola,AGO,42.49094914,45.8377414,43.81009059,44.42373173,67.37347427,45.3,45.6,47.0,48.2,48.5,29.0,32.1294,36.6347,37.8067,39.2935,55.23208333,54.94583333,58.16333333,54.78958333,53.46458333
Antigua and Barbuda,ATG,87.21405882,199.7481436,198.5668652,197.3825359,99.865641885,100.0,100.0,100.0,100.0,100.0,79.6,83.2,86.8837,87.074,91.4123,60.2525,59.77083333,44.14208333,49.5775,48.15083333
Argentina,ARG,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095,100.0,100.0,100.0,100.0,100.0,77.7,79.947,85.5144,87.1507,88.3754,65.27291667,64.59583333,65.2775,71.56791667,71.77291667
Armenia,ARM,126.1831509,128.2969735,124.3508359,128.961359,135.2539805,99.9,100.0,100.0,100.0,100.0,68.2451,66.5439,76.5077,78.6123,77.0277,82.39041667,82.22666667,82.93833333,83.1525,82.78583333
Aruba,ABW,118.41754025,132.4665076,132.2887836,132.3496283,121.14259165,100.0,100.0,100.0,100.0,99.9,79.12254999999999,80.0769,85.6006,86.80045000000001,85.95195,85.37729167,85.23416667000001,84.333125,86.078541665,86.36604166500001
