,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
Country Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,World,"Yemen, Rep.",Zambia,Zimbabwe
Country Code,AFG,ALB,DZA,ASM,AND,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NCL,NZL,NIC,NER,NGA,MKD,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROU,RUS,RWA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SXM,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,KNA,LCA,MAF,VCT,SDN,SUR,SWE,CHE,SYR,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,PSE,WLD,YEM,ZMB,ZWE
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2018",,61.9,63.79230769230769,65.68461538461538,67.57692307692308,69.46923076923076,71.36153846153846,73.25384615384615,75.14615384615385,77.03846153846153,78.93076923076923,80.82307692307693,82.71538461538461,84.6076923076923,86.5,63.8,56.08,48.36,40.64,32.92,25.2,25.88571428571429,26.57142857142857,27.257142857142856,27.942857142857143,28.628571428571423,29.314285714285717,30.0,30.685714285714283,31.37142857142857,32.05714285714286,32.74285714285714,33.42857142857143,34.114285714285714,34.8,37.05652173913043,39.31304347826087,41.5695652173913,43.826086956521735,46.08260869565217,48.33913043478261,50.59565217391304,52.85217391304347,55.10869565217391,57.36521739130434,59.621739130434776,61.87826086956522,64.13478260869564,66.3913043478261,68.64782608695651,70.90434782608696,73.16086956521738,75.41739130434783,77.67391304347825,79.9304347826087,82.18695652173912,84.44347826086957,86.7,86.41333333333334,86.12666666666667,85.84,85.55333333333334,85.26666666666667,84.98,84.69333333333334,84.40666666666667,84.12,83.83333333333334,83.54666666666667,83.26,82.97333333333334,82.68666666666667,82.4,74.93333333333334,67.46666666666667,60.00000000000001,52.53333333333334,45.06666666666667,37.60000000000001,30.13333333333334,22.66666666666667,15.2,17.58888888888889,19.977777777777774,22.366666666666667,24.755555555555556,27.14444444444445,29.53333333333333,31.92222222222222,34.31111111111111,36.7,39.08888888888889,41.477777777777774,43.86666666666666,46.25555555555555,48.644444444444446,51.03333333333333,53.42222222222222,55.8111111111111,58.2,55.900000000000006,53.6,51.3,49.0,46.7,44.400000000000006,42.1,39.8,37.5,35.2,32.9,30.6,28.3,26.0,23.7,21.4,19.1,16.799999999999997,14.5,12.199999999999996,9.9,7.599999999999994,5.3,11.733333333333334,18.166666666666668,24.6,31.03333333333333,37.46666666666667,43.9,50.33333333333333,56.766666666666666,63.2,60.53846153846154,57.87692307692308,55.215384615384615,52.55384615384615,49.892307692307696,47.23076923076923,44.56923076923077,41.90769230769231,39.246153846153845,36.58461538461538,33.92307692307692,31.26153846153846,28.6,29.18,29.76,30.34,30.92,31.5,39.9,48.3,56.7,56.540625000000006,56.38125,56.221875,56.0625,55.903125,55.743750000000006,55.584375,55.425,55.265625,55.10625,54.946875000000006,54.7875,54.628125,54.46875,54.309375,54.150000000000006,53.990625,53.83125,53.671875,53.5125,53.353125000000006,53.19375,53.034375,52.875,52.715625,52.556250000000006,52.396875,52.2375,52.078125,51.91875,51.759375,51.6,51.440625,51.28125,51.121875,50.9625,50.803125,50.64375,50.484375,50.325,50.165625,50.00625,49.846875,49.6875,49.528125,49.36875,49.209375,49.05,48.890625,48.73125,48.571875,48.4125,48.253125,48.09375,47.934375,47.775,47.615625,47.45625,47.296875,47.1375,46.978125,46.81875,46.659375,46.5,46.5
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1,88.45217391304347,88.80434782608695,89.15652173913043,89.50869565217391,89.86086956521739,90.21304347826089,90.56521739130434,90.91739130434782,91.2695652173913,91.62173913043478,91.97391304347826,92.32608695652172,92.67826086956522,93.0304347826087,93.38260869565218,93.73478260869564,94.08695652173913,94.4391304347826,94.79130434782608,95.14347826086956,95.49565217391304,95.84782608695652,96.2,62.0,27.8,28.886206896551723,29.97241379310345,31.05862068965517,32.144827586206894,33.23103448275862,34.317241379310346,35.40344827586207,36.48965517241379,37.57586206896552,38.66206896551724,39.748275862068965,40.83448275862069,41.92068965517241,43.00689655172414,44.09310344827586,45.179310344827584,46.26551724137931,47.35172413793103,48.43793103448276,49.52413793103448,50.61034482758621,51.69655172413793,52.78275862068965,53.86896551724138,54.9551724137931,56.04137931034482,57.12758620689655,58.21379310344827,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,20.45853658536585,21.417073170731708,22.37560975609756,23.334146341463416,24.29268292682927,25.25121951219512,26.209756097560977,27.16829268292683,28.12682926829268,29.085365853658537,30.04390243902439,31.00243902439024,31.960975609756098,32.91951219512195,33.8780487804878,34.83658536585366,35.795121951219514,36.75365853658536,37.71219512195122,38.670731707317074,39.62926829268292,40.58780487804878,41.54634146341464,42.50487804878048,43.46341463414634,44.4219512195122,45.38048780487805,46.3390243902439,47.29756097560976,48.2560975609756,49.21463414634147,50.17317073170732,51.131707317073165,52.09024390243902,53.04878048780488,54.00731707317073,54.96585365853658,55.92439024390244,56.88292682926829,57.84146341463415,58.8,59.62941176470588,60.45882352941176,61.28823529411765,62.11764705882353,62.94705882352941,63.77647058823529,64.60588235294118,65.43529411764706,66.26470588235294,67.09411764705882,67.9235294117647,68.75294117647059,69.58235294117648,70.41176470588236,71.24117647058824,72.07058823529412,72.9,72.54848484848485,72.1969696969697,71.84545454545454,71.4939393939394,71.14242424242424,70.7909090909091,70.43939393939394,70.0878787878788,69.73636363636363,69.38484848484849,69.03333333333333,68.68181818181819,68.33030303030303,67.97878787878788,67.62727272727273,67.27575757575758,66.92424242424242,66.57272727272728,66.22121212121212,65.86969696969697,65.51818181818182,65.16666666666667,64.81515151515151,64.46363636363637,64.11212121212121,63.76060606060606,63.40909090909091,63.05757575757576,62.7060606060606,62.35454545454545,62.0030303030303,61.65151515151515,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,61.77391304347826,61.947826086956525,62.12173913043478,62.29565217391304,62.469565217391306,62.64347826086957,62.81739130434782,62.99130434782609,63.165217391304346,63.33913043478261,63.51304347826087,63.68695652173913,63.860869565217385,64.03478260869565,64.20869565217392,64.38260869565217,64.55652173913043,64.7304347826087,64.90434782608695,65.07826086956521,65.25217391304348,65.42608695652173,65.6,65.8206896551724,66.04137931034482,66.26206896551723,66.48275862068965,66.70344827586206,66.92413793103448,67.14482758620689,67.36551724137931,67.58620689655172,67.80689655172414,68.02758620689654,68.24827586206897,68.46896551724137,68.6896551724138,68.9103448275862,69.13103448275862,69.35172413793103,69.57241379310345,69.79310344827586,70.01379310344828,70.23448275862069,70.45517241379311,70.67586206896551,70.89655172413794,71.11724137931034,71.33793103448276,71.55862068965517,71.77931034482759,72.0,65.32857142857142,58.65714285714286,51.98571428571428,45.31428571428572,38.64285714285714,31.971428571428568,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2022",,,,,,,,,,,,,,,,,,,,,31.6,35.34615384615385,39.09230769230769,42.83846153846154,46.58461538461538,50.33076923076924,54.07692307692308,57.823076923076925,61.56923076923077,65.31538461538462,69.06153846153846,72.8076923076923,76.55384615384615,80.3,80.0720588235294,79.84411764705882,79.61617647058823,79.38823529411765,79.16029411764706,78.93235294117646,78.70441176470588,78.47647058823529,78.24852941176471,78.02058823529411,77.79264705882353,77.56470588235294,77.33676470588235,77.10882352941177,76.88088235294117,76.65294117647059,76.425,76.1970588235294,75.96911764705882,75.74117647058823,75.51323529411765,75.28529411764706,75.05735294117648,74.82941176470588,74.60147058823529,74.37352941176471,74.14558823529411,73.91764705882353,73.68970588235294,73.46176470588235,73.23382352941177,73.00588235294117,72.77794117647059,72.55,72.3220588235294,72.09411764705882,71.86617647058823,71.63823529411765,71.41029411764706,71.18235294117648,70.95441176470588,70.72647058823529,70.49852941176471,70.27058823529411,70.04264705882352,69.81470588235294,69.58676470588235,69.35882352941177,69.13088235294117,68.90294117647059,68.675,68.4470588235294,68.21911764705882,67.99117647058823,67.76323529411765,67.53529411764706,67.30735294117648,67.07941176470588,66.85147058823529,66.62352941176471,66.39558823529411,66.16764705882352,65.93970588235294,65.71176470588235,65.48382352941177,65.25588235294117,65.02794117647059,64.8,64.74054054054054,64.68108108108108,64.62162162162161,64.56216216216215,64.5027027027027,64.44324324324324,64.38378378378378,64.32432432432432,64.26486486486486,64.2054054054054,64.14594594594594,64.08648648648648,64.02702702702703,63.96756756756756,63.90810810810811,63.84864864864865,63.78918918918919,63.729729729729726,63.67027027027027,63.61081081081081,63.55135135135135,63.49189189189189,63.43243243243244,63.372972972972974,63.31351351351351,63.25405405405405,63.1945945945946,63.13513513513514,63.07567567567568,63.016216216216215,62.95675675675676,62.8972972972973,62.83783783783784,62.77837837837838,62.71891891891892,62.65945945945946,62.6,63.75882352941176,64.91764705882353,66.0764705882353,67.23529411764706,68.39411764705882,69.55294117647058,70.71176470588236,71.87058823529412,73.02941176470588,74.18823529411765,75.34705882352941,76.50588235294117,77.66470588235293,78.8235294117647,79.98235294117646,81.14117647058823,82.3,81.39166666666667,80.48333333333333,79.575,78.66666666666666,77.75833333333333,76.85,75.94166666666666,75.03333333333333,74.125,73.21666666666667,72.30833333333334,71.4,70.49166666666666,69.58333333333333,68.675,67.76666666666667,66.85833333333333,65.95,65.04166666666666,64.13333333333333,63.225,62.31666666666666,61.40833333333333,60.5,59.59166666666667,58.68333333333334,57.775,56.86666666666667,55.958333333333336,55.05,54.141666666666666,53.23333333333333,52.325,51.41666666666667,50.50833333333333,49.6,50.82352941176471,52.04705882352941,53.27058823529412,54.49411764705883,55.71764705882353,56.94117647058824,58.16470588235295,59.38823529411765,60.61176470588236,61.83529411764707,63.05882352941177,64.28235294117647,65.50588235294119,66.72941176470589,67.9529411764706,69.1764705882353,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4
Political Stability and Absence of Violence/Terrorism: Estimate_2018,-2.753262043,0.366642982,-0.84212178,1.166080236,1.391008735,-0.347750902,0.822919726,0.006809914,-0.451120526,1.337275505,0.970811963,0.884671748,-0.711426675,0.847560644,-0.846307814,-0.985568643,0.900504649,0.353457749,0.393630445,-0.002222205,-0.147074759,1.133034587,1.077452898,-0.28669095,-0.400912255,0.958273768,-0.459640145,0.3880867365,1.235813618,0.444267064,-1.060256481,-1.570218563,0.833078504,0.110811263,-1.401759028,0.963774383,1.110623479,-2.172087193,-1.477965355,-0.532668263,0.412628829,-0.298641503,-0.806959629,-0.361675262,-2.080746651,-0.348402858,0.453240991,-0.898008049,0.793498814,0.640438855,0.562416464,0.484394073,1.02620995,0.931788921,-0.133512378,1.068851233,0.012199945,-0.094810791,-1.188100696,-0.389219522,-0.090242371,-0.609398246,0.580257714,-0.377810627,-1.274579644,-0.2206861675,0.833207309,0.891700327,0.0137935,-0.1218102715,-0.257414043,-0.08758685,-0.447616845,0.577707589,-0.036738522,0.058562886,0.153864294,1.936508656,0.968616605,0.697025716,-0.538192272,-0.880607545,-0.684850454,-0.191917717,-0.640176177,-0.531866431,0.776450574,0.737417698,1.394577146,-0.997705162,-0.552077413,-1.342144251,-2.520958185,1.011168242,0.046530813,-0.918106616,0.32613951,0.423851728,1.037358642,-0.379783809,-0.052698813,-1.179692149,0.998590291,-0.340751916,0.638081014,-0.675402105,0.090533733,-0.529558122,0.407829285,0.395304829,-1.621535778,-0.188686535,-0.203764617,-2.43496871,1.453585505,0.729063928,1.347255111,1.229578137,-0.578839123,-0.431270897,0.247989401,0.082971118,-2.084461451,1.271421313,0.998590291,-0.632418096,0.859399259,-0.673981011,1.315120697,-0.402226478,1.577254295,0.831077039,0.037592556,-0.348556757,-0.833329558,-1.266946793,0.684950054,0.944292486,-0.542416573,0.838097334,1.1751291155,1.512160897,-0.950931132,-1.358237863,-2.097414255,-0.211983711,0.4543261374999999,1.120635986,0.642036438,-2.253884554,1.194799542,0.252037287,-0.656307817,-0.086801514,-0.276951969,-1.096192241,0.480340898,1.115095258,0.273657262,0.649283886,0.036215875,-0.538375676,0.101642534,1.133188844,1.391008735,0.515797019,-0.660840631,-0.107445858,0.005221334,0.673826814,-0.088885598,1.468008995,1.1022605895,0.736512184,0.894077659,0.354402095,-2.248987675,-0.237621993,-2.434559584,0.275779158,-0.139389724,0.677222848,0.993263125,0.9080914255,0.822919726,-1.82177794,0.058161013,0.92122525,1.319249392,-2.736278534,-0.747738957,-0.580516219,-0.799434543,0.233176738,-0.88600421,0.833516359,0.230616614,-0.86821872,-1.315165997,-0.012979328,0.6890147034999999,1.391008735,-0.701724708,-1.872089386,0.689086735,0.077564575,0.386042565,1.023943424,-0.304469526,0.802380979,-1.351442456,0.032742601,0.955986977,-1.804794073,-2.4004125595000003,-2.996031046,0.082525499,-0.721038401
Political Stability and Absence of Violence/Terrorism: Estimate_2019,-2.652406931,0.11004968,-1.055829883,1.145717978,1.577211499,-0.370094687,0.937967896,-0.097864307,-0.420044243,1.335668564,0.917313099,0.892080426,-0.693412125,0.801466107,-0.626835167,-0.928613365,1.032812834,0.344906747,0.458316237,0.061934385,-0.420259506,1.051399589,1.065351009,-0.728338599,-0.424830645,1.095207453,-0.714393616,0.198285043,1.110963702,0.561198294,-1.30215323,-1.624993443,0.859521031,-0.075531386,-1.561764836,0.994817913,1.401382208,-2.13577795,-1.350407004,-0.6832876800000001,-0.016168356,-0.259810865,-0.979467273,-0.17683351,-1.624438524,-0.299301684,0.430242807,-1.036474109,0.685416102,0.610411108,0.5774621965,0.544513285,0.941883624,0.967484951,-0.343412548,1.029823542,-0.003159933,-0.238249406,-1.124602079,-0.120268002,-0.147936091,-0.705968618,0.630106986,-0.274407119,-1.303721905,-0.2619740664999999,0.779773772,0.835154116,0.271274894,0.0980667544999999,-0.075141385,0.214429125,-0.498185903,0.548454642,0.118470922,0.140420161,0.1623694,1.887186527,0.937967896,0.883918047,-0.577349424,-0.84259665,-0.561577141,-0.254104406,-0.887624741,-0.569066167,-0.228379548,0.761821568,1.61964798,-0.796840608,-0.502156675,-1.711465359,-2.609148026,0.95930326,0.07187143,-0.8155604,0.381040454,0.388235539,1.019695044,-0.274439603,-0.167979881,-1.105736017,1.124233007,-0.286907196,0.546021044,-0.348640084,0.175113589,-0.266192228,0.530268252,0.426793516,-1.67229104,-0.427999049,-0.339135408,-2.565771341,1.597493172,0.77052319,1.333174944,1.215290904,-0.313983828,-0.286847949,0.146066397,0.027608531,-2.214205742,1.013528109,1.175102472,-0.562930703,0.801905751,-0.843628824,1.034340501,-0.387309909,1.577211499,0.636659682,0.058016822,-0.345829725,-0.766716242,-1.330458999,0.528806627,0.792732,-0.452942908,0.821221173,1.118485302,1.415749431,-0.992481053,-1.404958606,-1.933071136,0.008093261,0.575039875,1.141986489,0.589168727,-2.251637459,1.171670437,0.290878117,-0.705046415,-0.018059423,-0.163659349,-0.928045392,0.550631166,1.051632404,0.142603353,0.684275627,0.54217118,-0.551099122,0.056940533,1.163725734,1.225839972,0.500569344,-0.623455822,0.03752597,-0.07809411,0.658694148,-0.056958809,1.480305552,1.07379055,0.667275548,0.801483512,0.495676666,-2.386288404,-0.283249706,-2.518343925,0.292700946,-0.215569809,0.700797915,0.906494319,0.9222311075,0.937967896,-1.696198225,0.087626666,1.011769652,1.310838223,-2.730331182,-0.512072921,-0.388441443,-0.491420507,0.243016809,-0.908243716,1.037786126,0.081537127,-0.877072871,-1.3781358,-0.178149864,0.4967602864999999,1.171670437,-0.694264531,-1.428326726,0.667445123,0.52747041,0.117876664,1.028179169,-0.29666546,1.00210762,-1.539181471,0.03891024,1.051399589,-1.88934803,-2.3301109075,-2.770873785,-0.11702957,-0.943286121
Political Stability and Absence of Violence/Terrorism: Estimate_2020,-2.702631712,0.088576451,-0.847814322,1.09160161,1.588571787,-0.600726008,0.929504931,-0.072026245,-0.771642268,1.371497393,0.861676931,0.887528837,-0.852247477,0.830237448,-0.61010927,-0.915807784,1.120577455,-0.887608171,0.521023035,0.518612146,-0.443083793,1.00336504,1.013411403,-0.453478873,-0.447489053,1.013090372,-0.445607245,0.3711955844999999,1.187998414,0.40158087,-1.537941337,-1.542314768,0.874160886,-0.209088624,-1.513643622,1.013104677,1.456373334,-2.236208916,-1.255195975,-0.6055927664999999,0.044010442,-0.473098785,-0.701150596,-0.28740406,-1.785483599,-0.213065609,0.746752381,-1.033205271,0.607223809,0.596087813,0.4424102005,0.288732588,0.91225487,0.920160234,-0.448214263,1.316998243,0.164941698,-0.270263135,-1.181911707,-0.115019135,-0.22158289,-0.992728472,0.709752977,-0.040577199,-1.753656149,-0.5458705129999999,0.661915123,0.981748819,0.280948132,0.1075730994999999,-0.065801933,0.247992232,-0.429623365,0.64498806,0.169862181,0.1425032245,0.115144268,1.910476446,1.03254509,0.888366282,-0.415842652,-0.669287205,-0.721676052,-0.137580603,-1.027478695,-0.448519617,0.05667685,0.836977124,1.374937654,-0.841136158,-0.462322682,-1.699162006,-2.474690437,0.965446055,0.038817704,-0.887810647,0.39929536,0.258638471,1.026066899,-0.267881632,-0.257630289,-1.007226825,1.163732648,-0.378693789,0.608559489,-0.279240251,0.225190043,-0.456187993,0.693885386,0.462128848,-1.62113452,-0.253533632,-0.314182639,-2.462278366,1.669110894,0.921403408,1.212395668,1.137468815,-0.509343922,-0.118913285,0.124463096,0.362981379,-2.14628768,0.998400986,0.983442307,-0.700950503,0.872974157,-0.791369319,1.118729949,-0.340128064,1.17722559,0.717772186,-0.061226465,-0.359539151,-1.281614184,-1.511704564,0.512376428,0.776040912,-0.180229142,0.830863893,1.1493211685,1.467778444,-0.585725188,-1.667164683,-1.891961455,0.112023413,0.666771084,1.221518755,0.419728547,-1.792646289,1.166012168,0.235460699,-0.653707087,0.016684934,-0.357738912,-0.778701365,0.491565287,1.008653641,0.435303301,0.669543803,0.508895397,-0.66740942,0.069421276,1.14607358,1.17722559,0.489546567,-0.650508463,-0.143128574,-0.170778826,0.701772809,-0.302403092,1.438414216,1.0361676515,0.633921087,0.701404274,0.562479496,-2.581385136,-0.252887934,-2.191669941,0.411397874,-0.089156918,0.929504931,0.864660144,0.948602617,1.03254509,-1.657063961,0.418793023,0.99729985,1.17615521,-2.71175766,-0.500084043,-0.480818123,-0.578276575,0.197355658,-0.890690088,1.089008689,0.110377036,-0.594331145,-1.143863201,-0.201663822,0.5082677155,1.218199253,-0.811034501,-1.16391623,0.592546582,0.481457025,-0.026929064,1.054884791,-0.436710477,0.882424951,-1.55198741,-0.038535811,1.00336504,-2.01818037,-2.3329133985,-2.647646427,-0.131005377,-1.052728176
