Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Afghanistan,AFG,97.7,,1066747.356,,,-1.419499159,6.8,,14.83131981,1.852781994,,-1.518614173,0.38,72.0,72.0,64.0,17.6,2.302372515,7.180397166,2993000.0,,63.565,,,59.78387904,16.6,,-8082.0,76.818367,,0.214,-2.652406931,,63.1,19.8,26.9,86.17552185,0.0,,27.86885246,,,72227.0,-1.113777995,,-1.741318822,,49.75625,4.1,68.843426,55.972735,32736.76917,71.4,,-1.006574869,,
Albania,ALB,100.0,,307741.0,91891090000.0,,-0.563899636,10.8,86.84481812,6.86214113,28.7919708,30.1,-0.062144101,2.85,99.0,99.0,95.0,68.5504,1.41109079,2.26174791,2797833.3333333335,6.275833333,79.282,,4.5,91.51642864,3.2,,-8889.0,56.41222382,89.43762207,1.651,0.11004968,,33.8,8.8,4.1,101.7207184,14.1,,29.50819672,,,120.0,0.272065461,2.2,-0.425378829,25.824,75.38291667,4.3,91.975256,86.047386,9196.36286,36.6,11.466,0.141880304,,
Algeria,DZA,99.5,,6752002.0,568703317500.0,53.6,-0.655895114,11.3,90.97743988333333,5.86751413,0.81411035,32.3,-0.567730427,2.325,88.0,88.0,80.0,58.9776,1.951768211,1.215303879,2602666.6666666665,8.0,76.474,,4.369565217391305,106.3696091,4.1,,-36386.0,35.46131516,82.07621510666667,2.053916666666667,-1.055829883,95.3,17.6,6.9,2.5,99.72988892,8.1,,25.75757576,,4020.25,98599.0,-1.388313293,29.4,-0.86179626,25.134,55.14916667,2.5,87.58892,83.123122,279200.6234,66.1,12.723749999999999,-1.05331111,,
American Samoa,ASM,99.75,,4980321.0,1045515545000.0,54.300000000000004,1.780709863,11.233333333333334,95.11006164666667,6.5953800650000005,85.8,34.5,0.490093946,1.8,93.5,93.0,89.5,74.84815,6.994830187333333,0.0,2407500.0,11.765122403333333,71.79866666666666,,4.239130434782608,110.75982780000001,19.03333333333333,,-1650.0,24.10178185,74.71480814333334,2.4568333333333334,1.145717978,93.75384615384615,36.233333333333334,13.566666666666666,7.5,81.97562408499999,12.566666666666666,,36.093073595,,6789.4,74330.33333333333,-0.325278997,36.833333333333336,1.268459797,24.444000000000003,55.08138889,3.7,82.835237,71.791526,139903.169498,60.43333333333333,13.9815,1.323771,,
Andorra,AND,100.0,,3208640.0,1522327772500.0,55.0,1.176592231,11.166666666666666,99.24268341,7.323246,34.04255319,36.7,1.852065086,1.275,99.0,98.0,99.0,90.7187,12.037892163666665,1.0855818446666667,2212333.3333333335,15.530244806666666,67.12333333333333,,4.108695652173913,115.1500465,33.96666666666666,,1238.0,12.74224854,67.35340118,2.85975,1.577211499,92.20769230769231,54.86666666666667,20.233333333333334,12.5,64.22135925,17.03333333333333,,46.42857143,,9558.55,50061.666666666664,1.221926212,44.266666666666666,1.510484815,23.754,55.01361111,4.9,94.634604,90.825976,605.715596,54.766666666666666,15.23925,1.108411908,,
Angola,AGO,45.6,,1436959.0,1999140000000.0,55.7,-1.058417916,11.1,98.90504201333333,2.47517991,53.87217454,38.9,-1.128562331,0.75,57.0,57.0,51.0,32.1294,17.08095414,2.1711636893333335,2017166.6666666667,19.29536721,62.448,,3.9782608695652173,45.8377414,48.9,,58986.0,33.0570755,76.37510681,3.262666666666667,-0.370094687,90.66153846153846,73.5,26.9,17.5,84.599178325,21.5,,30.0,,12327.7,25793.0,-0.833844543,51.7,-1.025190949,23.064,54.94583333,6.1,65.323119,54.494128,78672.38408,49.1,16.497,-0.793237388,,
Antigua and Barbuda,ATG,100.0,,526333.9951,1265217500000.0,56.4,0.239498109,8.0,98.56740061666667,4.37567186,18.59090909,41.099999999999994,-0.05469453,2.23,95.0,99.0,93.0,83.2,1.431355982,3.256745534,1822000.0,8.611329083,78.691,,3.8478260869565215,199.7481436,2.5,,0.0,24.26510048,85.39681244,3.665583333333334,0.937967896,89.11538461538461,54.65,19.75,10.45,104.9769974,25.5,,11.11111111,,15096.85,14825.0,0.470356703,30.25,0.363741606,21.146,59.77083333,0.4,89.224613,81.73869,1211.480385,43.0,13.17,0.731873512,,
Argentina,ARG,100.0,39.04418575,19461377.0,531295000000.0,57.1,-0.106940247,5.0,98.22975922,10.04194355,10.48017861,43.3,-0.120677568,3.71,83.0,83.0,86.0,79.947,1.437401295,5.155823421,1626833.3333333335,67.25416667,77.284,,3.717391304347826,125.9409814,11.4,1.1,4478.0,23.94149971,94.41851807,4.0685,-0.097864307,87.56923076923077,35.8,12.6,3.4,100.3828964,3.6,,40.15748031,,17866.0,3857.0,-0.4530797,8.8,-0.427303702,19.228,64.59583333,8.4,88.20058,78.412194,374523.504,106.3,9.843,0.571178675,,
Armenia,ARM,100.0,40.88908234,193668.0,301264000000.0,57.800000000000004,-0.226975173,0.8,96.9563770325,11.38,11.54478398,30.0,-0.225958586,4.18,92.0,92.0,95.0,66.5439,1.443446608,2.588100446,1431666.6666666667,12.14198895,75.439,,3.5869565217391304,128.2969735,5.8,1.0,-25363.0,84.79,99.35321045,3.988,-0.420044243,86.02307692307693,11.7,0.8,2.5,97.22709656,21.8,0.9,23.48484848,,698.4,17980.0,0.242604271,4.2,-0.177528098,25.461,82.22666667,3.3,89.283305,72.177495,9874.86109,22.6,9.794,0.054725666,,
Aruba,ABW,100.0,42.27629800555556,38522132.36,177461000000.0,58.5,1.174702883,0.75,95.682994845,10.799829905,2.333333333,30.066666666666666,0.987836778,5.183333333333334,93.5,93.5,94.5,80.0769,4.257462043,1.73771172,1236500.0,5.7,76.248,,3.4565217391304346,132.4665076,3.8499999999999996,0.9,412.0,49.76198389,99.44025675666667,3.9075,1.335668564,84.47692307692307,12.0,2.05,2.5,97.97105662333334,23.950000000000003,0.8426666666666667,26.97421232,,2121.6,38254.5,0.846234202,2.1,1.227761626,17.411,85.23416667000001,7.8999999999999995,89.079338,79.775203,311739.781195,35.0,7.4765,1.262557507,,
Australia,AUS,100.0,43.66351367111111,76850596.72,53658000000.0,59.2,1.788173079,0.7,94.4096126575,10.21965981,17.42131456,30.133333333333333,1.538760424,6.186666666666667,95.0,95.0,94.0,93.6099,1.610767873,0.887322994,1041333.3333333335,5.101,82.9,,3.3260869565217392,110.29622,1.9,0.7999999999999999,235860.0,14.73396778,99.52730306333333,3.827,0.917313099,82.93076923076923,12.3,3.3,2.5,98.71501668666667,26.1,0.7853333333333333,30.46357616,,3544.8,58529.0,1.864646077,0.0,1.694471836,9.361,88.24166667,12.5,92.968392,88.147374,613604.7013,47.4,5.159,1.269635201,,
Austria,AUT,100.0,45.05072933666667,46476602.0,16706070000.0,59.900000000000006,1.521409035,4.7,93.13623047,10.49,47.20746486,30.2,1.492244124,7.19,85.0,85.0,95.0,87.7522,1.530895642,0.867123025,846166.666666667,11.191107585000001,81.89512195,,3.1956521739130435,120.7891044,2.0,0.7,41105.0,17.92,99.61434937,5.318,0.892080426,81.38461538461539,3.0,0.9,2.5,99.45897675,17.1,0.728,39.3442623,,4968.0,135951.0,1.446407318,0.0,1.862250328,11.008,89.12,14.6,93.073777,87.575718,76622.88544,51.4,4.56,1.336874366,,
Azerbaijan,AZE,100.0,46.43794500222222,2585280.0,3095000000.0,60.6,-0.849424362,1.2,85.90901947,4.18,13.55336705,29.383333333333333,-0.128107175,3.9,94.0,94.0,98.0,81.1,2.610571828,1.641786917,651000.0,17.28121517,73.102,99.79598236,3.0652173913043477,105.0577494,3.6,1.1166666666666667,392.0,71.34,95.33319092,3.111,-0.693412125,79.83846153846154,8.8,0.0,2.5,100.3833389,12.7,0.6706666666666667,16.80672269,,2139.87,1109.0,-0.223895654,18.975,-0.610212207,10.322833333333332,68.14125,4.1,84.629933,73.381106,56536.8442,40.7,5.0,-1.528813601,,
"Bahamas, The",BHS,100.0,47.82516066777778,1856546.0,712242000.0,61.300000000000004,1.102446318,11.0,80.95262400333334,5.82275152,50.93506494,28.566666666666666,0.445289075,2.7,89.0,89.0,83.0,90.6933,2.491235274,23.48247589,576000.0,4.25,71.205,91.42547607333333,2.9347826086956523,105.1785039,2.6,1.5333333333333332,1001.0,26.66314316,95.917915346,2.2830000000000004,0.801466107,78.2923076923077,16.5,3.5,5.6,100.02000807499999,0.0,0.6133333333333333,12.82051282,,2385.58,10.0,-0.05739595,37.95,0.046137974,9.637666666666666,50.12416667,3.5,76.124187,66.493093,2957.747745,33.8,9.336,0.904696941,,
