Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Afghanistan,AFG,97.7,,449041.025,,,-1.493699789,,15.53361416,1.852781994,,-1.60950923,0.34,0.400284141,70.0,70.0,66.0,18.4,,6.594439084,3547000.0,,62.575,,,58.1902139,,166821.0,74.81396484,,0.254,-2.702631712,73.3,,70.1,22.6,28.8,,6.05,27.01612903,,72278.0,-1.389163017,,-1.831374288,53.764,54.39666667,65.799993,53.562234,31119.04539,11.71,-1.077688575,,
Albania,ALB,100.0,,124714.0,93065720000.0,,-0.572924495,88.59079742,7.51920271,28.7919708,29.4,-0.15488033,2.91,0.634250939,98.0,98.0,91.0,72.2377,1.620886617,2.127772012,3103725.0,6.120833333,76.989,,,91.35050062,,-9117.0,59.39613342,91.94413757,1.883,0.088576451,2.8,,30.9,7.7,4.1,99.46858978,5.59125,29.50819672,,105.0,0.221967235,2.2,-0.376249194,49.27314285714286,82.98416667,90.241719,81.703058,8304.29494,11.69,0.086402573,,
Algeria,DZA,99.7,,1460077.0,191394600000.0,,-0.666460216,90.18321227666667,6.14268684,0.81830896,31.616666666666667,-0.573433459,2.986,0.534556448,84.0,84.0,80.0,60.6534,2.415130941,1.505120655,2660450.0,8.0,74.453,,,104.842178,,-18797.0,37.33710861,88.96552277,2.2183333333333333,-0.847814322,13.26502,,19.0,6.2,2.5,102.2409363,5.1325,25.75757576,,97651.0,-1.355300307,31.5,-0.800302982,44.78228571428572,53.40625,85.163215,79.880051,266702.6795,11.651833333333332,-1.087952256,,
American Samoa,ASM,99.85,,1092283.0,289723480000.0,,1.266005278,91.77562713333333,7.464713095,85.65,33.833333333333336,0.632899344,3.0620000000000003,0.47717276200000003,91.5,91.0,89.0,76.9295,9.033933710666666,2.0395616145,2217175.0,11.88529831,70.38900000000001,,,104.14567070000001,,-1636.0,24.244093895,77.52276993000001,2.5536666666666665,1.09160161,29.710013333333332,,38.56666666666666,14.266666666666666,8.366666666666667,82.475452435,4.67375,36.093073595,,73697.66666666667,0.525310516,39.93333333333333,1.119430304,40.291428571428575,54.99194444333333,82.900723,72.321836,133640.12656950002,11.613666666666667,0.952043474,,
Andorra,AND,100.0,,724489.0,388052360000.0,,1.266005278,93.36804199,8.78673935,34.04255319,36.05,1.749414086,3.138,0.419789076,99.0,98.0,98.0,93.2056,15.652736480333331,2.574002574,1773900.0,15.77059662,66.325,,,103.4491634,,1474.0,11.15107918,66.08001709,2.8890000000000002,1.588571787,46.155006666666665,,58.13333333333333,22.333333333333332,14.233333333333334,62.70996857,4.215,46.42857143,,49744.333333333336,1.335421324,48.36666666666666,1.61627841,35.80057142857143,56.57763888666667,91.74041,81.951861,577.573639,11.5755,1.086253405,,
Angola,AGO,47.0,,356695.0,486381240000.0,,-0.938672543,94.96045684666667,3.22070646,53.42695115,38.266666666666666,-1.258393884,3.214,0.36240539,51.0,51.0,44.0,36.6347,22.27153925,6.1432561435,1330625.0,19.65589493,62.261,,,43.81009059,,7557.0,27.72385979,76.22398376333334,3.224333333333333,-0.600726008,62.6,,77.7,30.4,20.1,76.41924284666666,3.7562499999999996,30.0,,25791.0,-0.856853485,56.8,-0.950999379,31.309714285714286,58.16333333,65.265071,53.166326,70781.0562,11.537333333333333,-0.816002846,,
Antigua and Barbuda,ATG,100.0,,356.0,584710120000.0,,0.238533273,96.55287170333334,5.92146206,18.45454545,40.483333333333334,-0.204486713,3.29,0.5957039,96.0,95.0,89.0,86.8837,0.625989707,9.712509713,887350.0,7.68383775,78.841,,,198.5668652,,0.0,21.96622849,86.36795043666666,3.5596666666666668,0.929504931,44.531573333333334,,33.0,7.1,11.700000000000001,90.12851712333334,3.2975,11.11111111,,14878.0,0.497693717,33.349999999999994,0.407973528,26.818857142857144,44.14208333,89.525039,82.169251,1203.631334,11.499166666666667,0.742793262,,
Argentina,ARG,100.0,39.30133787,3680874.0,683039000000.0,70.1,-0.163780659,98.14528656,10.34701538,10.44071488,42.7,-0.253818214,3.2,0.602144718,74.0,74.0,77.0,85.5144,0.9187127425,5.366813844,444075.0,29.3875,75.892,,,121.6001889,1.2,2344.0,21.75679016,96.51191711,3.895,-0.072026245,26.463146666666667,95.0,37.0,13.0,3.3,103.8377914,2.83875,40.85603113,,3965.0,-0.498344272,9.9,-0.487334788,22.328,65.2775,85.499563,76.217396,361433.0173,11.461,0.585294366,,
Armenia,ARM,100.0,37.509180431874995,54940.0,315585000000.0,68.3391304347826,-0.0034387,90.79579926,12.24,11.5374078,25.1,-0.304616541,4.59,0.578998804,91.0,92.0,94.0,76.5077,1.211435778,1.85343037,800.0,11.61984251,72.173,99.78861237,1.3,124.3508359,0.4,-12825.0,77.85,99.60900879,3.964,-0.771642268,8.39472,95.04375,8.3,0.0,2.5,101.9867477,2.38,23.48484848,698.4,107910.0,0.238748029,2.5,-0.125852257,29.935,82.93833333,84.736793,61.907449,10422.04117,18.175,0.047159709,,
Aruba,ABW,100.0,35.71702299375,11700597.0,187641500000.0,66.57826086956521,1.199391723,91.58133952,11.4618684,2.333333333,26.666666666666668,1.075224519,5.413333333333333,0.674619168,93.0,93.5,93.5,85.6006,1.0291706575,1.3571779145,184350.0,6.8,75.723,97.98999786,1.28,132.2887836,0.5333333333333333,0.0,46.381321715,99.64213307666667,4.033,1.371497393,14.605361428571427,95.0875,10.100000000000001,1.8,2.5,100.52863054666666,2.1155555555555554,26.97421232,2120.9333333333334,82660.5,0.914808512,1.3,1.270262361,20.3205,84.333125,88.536413,79.239306,291162.580535,12.3155,1.282142997,,
