Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Afghanistan,AFG,97.7,9.65,,293212.994,,,-1.152327418,,21.82794952,1.852781994,,-1.669562101,0.36,66.0,66.0,63.0,,,4.022497858,4314000.0,,61.982,37.2660408,,56.55443457,,-183672.0,77.21405029,,,-2.518530369,,79.1,28.4,30.1,,,27.01612903,,66949.0,-1.311682105,,-1.87635684,43.769,58.01416667,65.217377,51.520426,5.679,-1.567889929,,
Albania,ALB,100.0,44.17,,193259.0,101773000000.0,,-0.576535523,91.57214355,7.26731825,28.7919708,,-0.035360068,0.7857142857142857,98.0,98.0,87.0,79.3237,2.041471631,2.311968641,3774850.0,6.021666667,76.463,39.87249653933333,,92.31992041,,-10612.0,59.70423508,91.51325226,,0.196294025,,30.2,7.5,4.1,98.22325897,,35.71428571,,109.0,0.175859392,3.8,-0.280372351,24.085,83.44041667,89.363323,80.5539,11.474,0.085914411,,
Algeria,DZA,99.8,44.1,,1949936.0,262877500000.0,,-0.635657609,92.29348245833334,5.5283432,0.822227648,,-0.653295338,1.2114285714285713,81.0,81.0,79.0,66.2356,7.226063074,1.573182343,3235700.0,8.0,76.377,42.47895227866667,,106.4235366,,-18797.0,38.53033829,92.67938232,,-0.992437243,,19.4,5.6,2.5,99.75267792,,8.108108108,4000.5,97890.0,-1.181962967,29.6,-0.832210958,23.485,63.97083333,87.70347,82.687117,12.555250000000001,-1.009323955,,
American Samoa,ASM,99.9,49.606,,1403786.6666666665,423982000000.0,,1.279871821,93.01482136666667,6.93141842,85.5,,0.639231384,1.637142857142857,90.0,89.5,89.0,80.06655,13.402140342666666,5.47083446725,2696550.0,11.801051543333333,71.46566666666666,45.085408017999995,,112.5482564,,-1646.0,25.13421202,93.484544115,,1.068576336,,39.099999999999994,14.133333333333333,8.866666666666667,80.910823825,,27.268339768999997,3450.15,73941.66666666667,0.534613013,38.300000000000004,1.138901711,22.884999999999998,60.91041666333333,85.086998,70.447406,13.6365,0.960498691,,
Andorra,AND,100.0,55.111999999999995,,857637.3333333333,585086500000.0,,1.279871821,93.736160275,8.33449364,34.04255319,,1.749253273,2.0628571428571427,99.0,98.0,99.0,93.8975,19.578217611333333,9.368486591500002,2157400.0,15.602103086666666,66.55433333333333,47.69186375733333,,118.6729762,,1377.0,11.73808575,94.28970591,,1.581067443,,58.8,22.666666666666664,15.233333333333334,62.06896973,,46.42857143,2899.8,49993.333333333336,1.359349608,47.0,1.64212966,22.285,57.84999999666667,92.802338,84.126321,14.717749999999999,1.033412814,,
Angola,AGO,48.2,60.617999999999995,,311488.0,746191000000.0,,-0.651610196,94.45749918333334,2.96010613,52.98172239,,-1.128076315,2.4885714285714284,45.0,45.0,36.0,37.8067,25.75429488,13.26613871575,1618250.0,19.40315463,61.643,50.298319496666664,,44.42373173,,29089.0,23.413311,95.094867705,,-0.709369481,,78.5,31.2,21.6,76.53915658666666,,29.54545455,2349.45,26045.0,-0.670014679,55.7,-0.984480023,21.685,54.78958333,63.523185,51.280449,15.799,-0.85489428,,
Antigua and Barbuda,ATG,100.0,66.124,,40633.0,907295500000.0,,0.231979251,95.17883809166666,5.85133028,18.30295455,,-0.193284988,2.914285714285714,92.0,92.0,85.0,87.074,2.062996385,17.16379084,1079100.0,7.39227225,78.497,52.904775236,,197.3825359,,0.0,19.15764618,95.9000295,,0.949530005,,33.0,7.1,12.4,91.00934344333334,,11.11111111,1799.1,15047.5,0.374506027,32.150000000000006,0.303531021,18.9015,49.5775,89.700867,82.547256,12.2675,0.730730891,,
Argentina,ARG,100.0,71.63,36.56051927,6708097.0,1068400000000.0,,-0.422272921,95.900177,9.70880699,10.40076395,42.4,-0.389672071,3.34,81.0,81.0,86.0,87.1507,4.6239163395,4.622678556,539950.0,35.55833333,75.39,55.51123097533333,,130.4550081,0.9,2344.0,22.36627579,96.70519129499999,,0.000468279,,36.9,13.1,3.2,105.4795303,,44.74708171,1248.75,4050.0,-0.631172717,8.6,-0.476669818,16.118,71.56791667,85.105289,76.225132,8.736,0.611695528,,
Armenia,ARM,100.0,55.35,36.64942477938462,179200.0,321384000000.0,,0.048978329,95.37117004,12.34,11.53003161,27.9,-0.281927228,3.23,93.0,93.0,94.0,78.6123,7.184836294,2.185617312,800.0,11.76190876,72.043,58.11768671466666,,128.961359,0.5,-12825.0,78.66,97.51035309,,-0.804036558,,7.1,0.0,2.5,100.6318436,0.21,33.64485981,698.4,34728.0,0.131828442,3.9,-0.119232148,21.892,83.1525,85.137742,60.444586,8.418,0.054073099,,
Aruba,ABW,100.0,77.335,36.738330288769234,12376077.5,190735500000.0,,0.801610887,94.139352795,11.44181959,2.333333333,28.833333333333332,1.084040165,3.12,94.0,94.0,93.5,86.80045000000001,5.024373358,1.4650923975,164350.0,6.4,74.626,60.724142454,,132.3496283,0.5666666666666667,501.0,46.242486075,98.15105184,,1.431547046,,9.25,1.7,2.5,100.36006675333333,0.20266666666666666,32.38534381,2119.6,45167.0,0.939555347,2.0,1.247303724,15.581,86.078541665,86.845804,77.12472,6.7669999999999995,1.018640995,,
Australia,AUS,100.0,99.32,36.82723579815384,24572955.0,60087000000.0,,1.707646132,92.90753555,10.54363918,17.42131456,29.766666666666666,1.473996282,3.01,95.0,95.0,93.0,94.9886,2.863910422,0.744567483,327900.0,9.741987936666666,83.3,63.33059819333333,,104.5172138,0.6333333333333333,117929.0,13.82497215,98.79175059,,0.835315883,,11.4,3.4,2.5,100.08828990666667,0.19533333333333333,31.12582781,3540.8,55606.0,1.831182718,0.1,1.639288187,9.27,89.00458333,94.804253,92.926574,5.116,1.358394265,,
