Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Compensation of employees (current LCU),Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Gini index,Government Effectiveness: Estimate,"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)",Political Stability and Absence of Violence/Terrorism: Estimate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Afghanistan,AFG,85.3,,,-1.183776498,,,,-1.879552364,69.0,69.0,68.0,,,4513000.0,,62.879,,1.9,,,,-65846.0,,,-2.550801754,,,52159.0,-1.27180624,,-1.658442259,,58.01416667,66.852465,52.99077,,-1.751587272,,
Albania,ALB,100.0,,,-0.407875538,89.36257172,,,0.065062843,97.0,97.0,86.0,82.6137,6.725202715,3949825.0,6.506666667,76.833,98.5,2.5,,97.88570679,,-8000.0,,,0.114945494,97.74899292,35.71428571,2676.0,0.159353822,1.8,-0.165779099,,83.41875,89.707203,81.240663,,0.139465705,,
Algeria,DZA,100.0,,,-0.637929857,92.48061371,,,-0.513090253,77.0,77.0,79.0,71.2432,9.265515516,3386650.0,8.0,77.129,91.9750003825,2.5,,109.1653573,,-9999.0,,,-0.741771519,94.71138763,8.108108108,99107.0,-1.063573241,29.1,-0.832472682,,63.16083333,88.46934,84.018003,,-1.003874183,,
American Samoa,ASM,100.0,,,1.27020359,95.59865570000001,,,0.667918146,87.5,86.5,88.5,82.86435,13.295440387333333,2823475.0,12.039070460000001,72.06233333333334,85.450000765,2.3666666666666667,,125.68973919999999,,-810.0,,,1.128859043,94.28405125500001,27.268339768999997,74576.0,0.545899749,37.46666666666667,1.221117854,,59.92874999666667,83.484592,72.375006,,0.95764786,,
Andorra,AND,100.0,,,1.27020359,98.71669769,,,1.495304942,98.0,96.0,98.0,94.4855,17.325365258666665,2260300.0,16.078140920000003,66.99566666666666,78.9250011475,2.2333333333333334,,142.2141211,,200.0,,,1.587736487,93.85671488,46.42857143,50045.0,1.398334026,45.833333333333336,1.48544991,,56.69666666333334,94.899708,91.456135,,1.102832913,,
Angola,AGO,48.5,,,-0.601941288,97.04870986750001,,,-1.040429354,42.0,42.0,37.0,39.2935,21.35529013,1697125.0,20.11721138,61.929,72.40000153,2.1,,67.37347427,,-1000.0,,,-0.64624089,93.429378505,33.63636364,25514.0,-0.606698573,54.2,-1.021904588,,53.46458333,64.128014,52.233344,,-0.797131121,,
Antigua and Barbuda,ATG,100.0,,,0.310604453,95.380722045,,,-0.159468576,99.0,99.0,99.0,91.4123,7.531078346,1133950.0,7.31490375,79.236,75.23027717111111,2.9,,99.865641885,,0.0,,,0.943862259,93.00204213,11.11111111,14804.0,0.289086968,30.950000000000003,0.391315579,,48.15083333,89.522211,82.335097,,0.721560717,,
Argentina,ARG,100.0,,1979200000000.0,-0.447030485,93.71273422249999,,40.7,-0.282877296,81.0,81.0,83.0,88.3754,8.085994718,570775.0,52.39916667,76.064,78.06055281222223,2.8,,132.3578095,0.6,3886.0,,,-0.009163282,92.574705755,44.74708171,4094.0,-0.697565734,7.7,-0.480682313,15.872,71.77291667,86.051875,77.204765,6.805,0.543526769,,
Armenia,ARM,100.0,,343065000000.0,0.028035237,92.0447464,,27.9,-0.314229518,93.0,96.0,95.0,77.0277,8.64091109,7600.0,11.71941396,73.372,80.89082845333333,2.5,,135.2539805,0.8,-5000.0,,,-0.797183931,92.14736938,35.51401869,34634.0,-0.019078802,3.3,-0.168567225,13.377666666666666,82.78583333,86.906347,64.400285,5.779333333333334,0.08823394,,
Aruba,ABW,99.9,,202132000000.0,0.756784737,92.8892965325,,28.685714285714283,1.105333328,93.5,95.0,95.5,85.95195,7.617503901499999,170450.0,6.1,74.992,83.72110409444444,3.1,,121.14259165000001,1.6285714285714286,164.0,,,1.474684358,93.81797027333333,36.96230736,44532.0,0.967042565,2.2,1.278907537,10.883333333333333,86.36604166500001,87.367715,77.732104,4.753666666666667,1.009181976,,
Australia,AUS,100.0,,61199000000.0,1.764489532,93.73384666499999,,29.47142857142857,1.528874636,94.0,94.0,96.0,94.8762,6.594096713,333300.0,8.929930833333334,83.2,86.55137973555556,3.7,,107.0312028,2.4571428571428573,139991.0,,,0.933572054,95.48857116666667,38.41059603,54430.0,1.894893289,1.1,1.510085225,8.389,89.94625,93.468752,89.287141,3.728,1.319480419,,
