Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
Afghanistan,AFG,,,,,,,,53.764,43.769,,88.73551941,86.17552185,,,,,,,37.2660408,,,,,,
Albania,ALB,89.04618073,89.43762207,91.94413757,91.51325226,,26.614,25.824,49.27314285714286,24.085,,105.7085571,101.7207184,99.46858978,98.22325897,97.74899292,,,,39.87249653933333,98.5,93.8843689,86.84481812,88.59079742,91.57214355,89.36257172
Algeria,DZA,91.55725098,82.07621510666667,88.96552277,92.67938232,,25.34883333333333,25.134,44.78228571428572,23.485,,102.6879883,99.72988892,102.2409363,99.75267792,94.71138763,81.40783691,,,42.47895227866667,91.9750003825,95.7427063,90.97743988333332,90.18321227666668,92.29348245833334,92.48061371
American Samoa,ASM,79.85951233,74.71480814333334,77.52276993000001,93.484544115,,24.083666666666662,24.444000000000003,40.291428571428575,22.885,,84.69858552,81.97562408499999,82.475452435,80.910823825,94.284051255,80.83124952692307,,,45.085408018,85.450000765,97.6010437,95.11006164666668,91.77562713333332,93.01482136666668,95.5986557
Andorra,AND,68.16177368,67.35340118,66.08001709,94.28970591,,22.8185,23.754,35.80057142857143,22.285,,66.70918274,64.22135925,62.70996857,62.06896973,93.85671488,80.25466214384615,,,47.69186375733333,78.9250011475,99.4593811,99.24268341,93.36804199,93.736160275,98.71669769
Angola,AGO,76.72974904333333,76.37510681,76.22398376333334,95.094867705,,21.55333333333333,23.064,31.30971428571429,21.685,,85.57681271999999,84.599178325,76.41924284666666,76.53915658666666,93.429378505,79.67807476076923,,,50.29831949666666,72.40000153,98.78647613333334,98.90504201333331,94.96045684666667,94.45749918333334,97.0487098675
Antigua and Barbuda,ATG,85.29772440666667,85.39681244,86.36795043666666,95.9000295,,20.28816666666667,21.146,26.818857142857144,18.9015,,104.4444427,104.9769974,90.12851712333334,91.00934344333334,93.00204213,79.10148737769231,,,52.904775236,75.23027717111111,98.11357116666666,98.56740061666667,96.55287170333334,95.17883809166666,95.380722045
Argentina,ARG,93.86569977,94.41851807,96.51191711,96.705191295,,19.023,19.228,22.328,16.118,15.872,100.2818069,100.3828964,103.8377914,105.4795303,92.574705755,78.52489999461538,,,55.51123097533333,78.06055281222223,97.4406662,98.22975922,98.14528656,95.900177,93.7127342225
Armenia,ARM,95.9681778,99.35321045,99.60900879,97.51035309,,24.746,25.461,29.935,21.892,13.377666666666666,100.2370682,97.22709656,101.9867477,100.6318436,92.14736938,77.94831261153846,,99.78861237,58.11768671466666,80.89082845333333,96.303712845,96.9563770325,90.79579926,95.37117004,92.0447464
Aruba,ABW,97.23671468333332,99.44025675666668,99.64213307666668,98.15105184,,17.0825,17.411,20.3205,15.581,10.883333333333333,99.40937298,97.97105662333334,100.52863054666666,100.36006675333331,93.81797027333332,77.37172522846154,,97.98999786,60.724142454,83.72110409444444,95.16675949,95.682994845,91.58133952,94.139352795,92.8892965325
