Country Name,Country Code,Compensation of employees (current LCU)_2018,Compensation of employees (current LCU)_2019,Compensation of employees (current LCU)_2020,Compensation of employees (current LCU)_2021,Compensation of employees (current LCU)_2022,"Unemployment, total (% of total labor force) (national estimate)_2018","Unemployment, total (% of total labor force) (national estimate)_2019","Unemployment, total (% of total labor force) (national estimate)_2020","Unemployment, total (% of total labor force) (national estimate)_2021","Unemployment, total (% of total labor force) (national estimate)_2022",Regulatory Quality: Estimate_2018,Regulatory Quality: Estimate_2019,Regulatory Quality: Estimate_2020,Regulatory Quality: Estimate_2021,Regulatory Quality: Estimate_2022
Afghanistan,AFG,,,,,,,,11.71,5.679,,-1.138203621,-1.113777995,-1.389163017,-1.311682105,-1.27180624
Albania,ALB,87921000000.0,91891090000.0,93065720000.0,101773000000.0,,12.304,11.466,11.69,11.474,,0.256079823,0.272065461,0.221967235,0.175859392,0.159353822
Algeria,DZA,450615750000.0,568703317500.0,191394600000.0,262877500000.0,,11.790166666666668,12.72375,11.651833333333332,12.55525,,-1.346901417,-1.388313293,-1.355300307,-1.181962967,-1.063573241
American Samoa,ASM,813310500000.0,1045515545000.0,289723480000.0,423982000000.0,,11.276333333333334,13.9815,11.613666666666669,13.6365,,-0.306241989,-0.325278997,0.525310516,0.534613013,0.545899749
Andorra,AND,1176005250000.0,1522327772500.0,388052360000.0,585086500000.0,,10.7625,15.23925,11.5755,14.71775,,1.187329054,1.221926212,1.335421324,1.359349608,1.398334026
Angola,AGO,1538700000000.0,1999140000000.0,486381240000.0,746191000000.0,,10.248666666666669,16.497,11.537333333333333,15.799,,-0.800683141,-0.833844543,-0.856853485,-0.670014679,-0.606698573
Antigua and Barbuda,ATG,962875000000.0,1265217500000.0,584710120000.0,907295500000.0,,9.734833333333334,13.17,11.499166666666667,12.2675,,0.401309967,0.470356703,0.497693717,0.374506027,0.289086968
Argentina,ARG,387050000000.0,531295000000.0,683039000000.0,1068400000000.0,1979200000000.0,9.221,9.843,11.461,8.736,6.805,-0.195977628,-0.4530797,-0.498344272,-0.631172717,-0.697565734
Armenia,ARM,275492000000.0,301264000000.0,315585000000.0,321384000000.0,343065000000.0,10.589,9.794,18.175,8.418,5.779333333333334,0.350590289,0.242604271,0.238748029,0.131828442,-0.019078802
Aruba,ABW,162738000000.0,177461000000.0,187641500000.0,190735500000.0,202132000000.0,7.9445,7.4765,12.3155,6.767,4.753666666666667,0.846328259,0.846234202,0.914808512,0.939555347,0.967042565
Australia,AUS,49984000000.0,53658000000.0,59698000000.0,60087000000.0,61199000000.0,5.3,5.159,6.456,5.116,3.728,1.896577239,1.864646077,1.813946962,1.831182718,1.894893289
Austria,AUT,16230830000.0,16706070000.0,17093290000.0,17675270000.0,18233660000.0,4.933,4.56,5.201,6.459,4.992,1.524036407,1.446407318,1.395227313,1.340415716,1.283199787
Azerbaijan,AZE,2765600000.0,3095000000.0,3534600000.0,3586900000.0,9486012010.5,4.9,5.0,7.24,6.04,5.65,-0.314388335,-0.223895654,-0.336040139,-0.065053962,-0.103344202
"Bahamas, The",BHS,728646000.0,712242000.0,760847005.0,700830937.0,738364021.0,10.0,9.336,6.6018,5.612,5.297666666666667,0.167803615,-0.05739595,0.001366154,0.061612576,-0.146485969
Bahrain,BHR,1447154802.0,1398864073.0,1389808924.0,298846415468.5,2380183138.25,9.440666666666669,9.028333333333334,5.9636000000000005,5.184,4.945333333333333,0.405416608,0.471980393,0.614857495,0.836070001,0.970633507
Bangladesh,BGD,514023000000.0,561967000000.0,579600000000.0,596992000000.0,4022002255.5,8.881333333333332,8.720666666666666,5.3254,4.756,4.593,-0.849186778,-0.937222183,-0.906213522,-0.846353292,-0.927658916
Barbados,BRB,259501985189.0,283630891836.5,292757257307.0,301778114300.0,5663821372.75,8.322,8.413,4.687200000000001,4.327999999999999,4.0835,0.531776667,0.398749411,0.467795849,0.550468504,0.476500303
Belarus,BLR,4980970378.0,5294783673.0,5914514614.0,6564228600.0,7305640490.0,4.763,4.165,4.049,3.9,3.574,-0.815192759,-0.673096418,-0.799875796,-0.92898792,-1.33121407
Belgium,BEL,9726000000.0,9958600000.0,10044000000.0,10365700000.0,11338600000.0,5.941,5.364,5.545,6.248,5.57,1.259039402,1.276537299,1.343635798,1.331859708,1.252955198
Belize,BLZ,9902992612.25,10574626250.0,11959544276.25,9212511361.5,10091285900.0,5.29325,9.053,5.41625,5.8870000000000005,3.6275,-0.666695118,-0.559759736,-0.550579548,-0.424278557,-0.43876633
Benin,BEN,10079985224.5,11190652500.0,13875088552.5,8059322723.0,8843971800.0,4.6455,1.214,5.2875,5.526,1.685,-0.39342612,-0.446330428,-0.483431756,-0.44798848,-0.348364651
Bermuda,BMU,10256977836.75,11806678750.0,15790632828.75,6906134084.5,7596657700.0,3.99775,1.967,5.15875,5.165,3.816,0.813936293,0.83512485,0.93036598,0.946981251,0.972116888
Bhutan,BTN,10433970449.0,12422705000.0,17706177105.0,5752945446.0,6349343600.0,3.35,2.72,5.03,4.804,5.947,-0.376959831,-0.359623849,-0.330750853,-0.405656159,-0.381970435
Bolivia,BOL,6660397420.0,7800503002.5,10530638941.0,4599756807.5,5102029500.0,3.519,3.682,7.903,5.089,3.552,-1.007106662,-1.001956344,-1.035290122,-1.16856575,-1.210536242
Bosnia and Herzegovina,BIH,2886824391.0,3178301005.0,3355100777.0,3446568169.0,3854715400.0,18.4,15.692,15.868,14.897,12.657,-0.14139466,-0.128735393,-0.18239288,-0.19508715,-0.157615319
Botswana,BWA,22085070000.0,26251930000.0,28699840000.0,29614820000.0,31777090000.0,15.364999999999998,20.094,21.017,23.106,23.615,0.62392962,0.498032212,0.527586281,0.600826502,0.621043563
Brazil,BRA,290565000000.0,305357000000.0,301641000000.0,309990000000.0,320344000000.0,12.33,11.936,13.697,13.159,9.231,-0.293125451,-0.121404096,-0.111011527,-0.121613994,-0.220437631
British Virgin Islands,VGB,195887118000.0,206133245000.0,203873687000.0,209837417000.0,217031295000.0,10.515,9.268,10.553,9.032,7.211,0.191809982,0.2517696995,0.396944959,0.4327606184999999,0.4233028964999999
Brunei Darussalam,BRN,101209236000.0,106909490000.0,106106374000.0,109684834000.0,113718590000.0,8.7,6.6,7.409,4.905,5.191,0.676745415,0.624943495,0.904901445,0.987135231,1.067043424
Bulgaria,BGR,6531354000.0,7685735000.0,8339061000.0,9532251000.0,10405885000.0,5.211,4.23,5.125,5.267,4.268,0.605752707,0.530806184,0.460990727,0.433977693,0.320686907
