Country Name,Country Code,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2018","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2019","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2020","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2021","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2022",Political Stability and Absence of Violence/Terrorism: Estimate_2018,Political Stability and Absence of Violence/Terrorism: Estimate_2019,Political Stability and Absence of Violence/Terrorism: Estimate_2020,Political Stability and Absence of Violence/Terrorism: Estimate_2021,Political Stability and Absence of Violence/Terrorism: Estimate_2022,Rule of Law: Estimate_2018,Rule of Law: Estimate_2019,Rule of Law: Estimate_2020,Rule of Law: Estimate_2021,Rule of Law: Estimate_2022,"Internally displaced persons, total displaced by conflict and violence (number of people)_2018","Internally displaced persons, total displaced by conflict and violence (number of people)_2019","Internally displaced persons, total displaced by conflict and violence (number of people)_2020","Internally displaced persons, total displaced by conflict and violence (number of people)_2021","Internally displaced persons, total displaced by conflict and violence (number of people)_2022","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2018","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2019","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2020","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2021","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2022",Refugee population by country or territory of asylum_2018,Refugee population by country or territory of asylum_2019,Refugee population by country or territory of asylum_2020,Refugee population by country or territory of asylum_2021,Refugee population by country or territory of asylum_2022,Voice and Accountability: Estimate_2018,Voice and Accountability: Estimate_2019,Voice and Accountability: Estimate_2020,Voice and Accountability: Estimate_2021,Voice and Accountability: Estimate_2022,Control of Corruption: Estimate_2018,Control of Corruption: Estimate_2019,Control of Corruption: Estimate_2020,Control of Corruption: Estimate_2021,Control of Corruption: Estimate_2022,Losses due to theft and vandalism (% of annual sales for affected firms)_2018,Losses due to theft and vandalism (% of annual sales for affected firms)_2019,Losses due to theft and vandalism (% of annual sales for affected firms)_2020,Losses due to theft and vandalism (% of annual sales for affected firms)_2021,Losses due to theft and vandalism (% of annual sales for affected firms)_2022,Government Effectiveness: Estimate_2018,Government Effectiveness: Estimate_2019,Government Effectiveness: Estimate_2020,Government Effectiveness: Estimate_2021,Government Effectiveness: Estimate_2022,Proportion of seats held by women in national parliaments (%)_2018,Proportion of seats held by women in national parliaments (%)_2019,Proportion of seats held by women in national parliaments (%)_2020,Proportion of seats held by women in national parliaments (%)_2021,Proportion of seats held by women in national parliaments (%)_2022,Net migration_2018,Net migration_2019,Net migration_2020,Net migration_2021,Net migration_2022
Afghanistan,AFG,,,,,,-2.753262043,-2.652406931,-2.702631712,-2.518530369,-2.550801754,-1.688586712,-1.741318822,-1.831374288,-1.87635684,-1.658442259,2598000.0,2993000.0,3547000.0,4314000.0,4513000.0,,,,,,72228.0,72227.0,72278.0,66949.0,52159.0,-1.007052064,-1.006574869,-1.077688575,-1.567889929,-1.751587272,-1.502880573,-1.419499159,-1.493699789,-1.152327418,-1.183776498,,,,,,-1.501345396,-1.518614173,-1.60950923,-1.669562101,-1.879552364,,27.86885246,27.01612903,27.01612903,,-47205.0,-8082.0,166821.0,-183672.0,-65846.0
Albania,ALB,61.9,,,,,0.366642982,0.11004968,0.088576451,0.196294025,0.114945494,-0.414187849,-0.425378829,-0.376249194,-0.280372351,-0.165779099,2435166.6666666665,2797833.333333333,3103725.0,3774850.0,3949825.0,83.7,,,,,132.0,120.0,105.0,109.0,2676.0,0.188694432,0.141880304,0.086402573,0.085914411,0.139465705,-0.545840263,-0.563899636,-0.572924495,-0.576535523,-0.407875538,,4.5,,,,0.080650173,-0.062144101,-0.15488033,-0.035360068,0.065062843,27.85714286,29.50819672,29.50819672,35.71428571,35.71428571,-9106.0,-8889.0,-9117.0,-10612.0,-8000.0
Algeria,DZA,63.79230769230769,,,,,-0.84212178,-1.055829883,-0.847814322,-0.992437243,-0.741771519,-0.807303429,-0.86179626,-0.800302982,-0.832210958,-0.832472682,2272333.333333333,2602666.6666666665,2660450.0,3235700.0,3386650.0,81.96428571428572,,,,,94341.0,98599.0,97651.0,97890.0,99107.0,-0.995128453,-1.05331111,-1.087952256,-1.009323955,-1.003874183,-0.658660114,-0.655895114,-0.666460216,-0.635657609,-0.637929857,,4.369565217391305,,,,-0.488373935,-0.567730427,-0.573433459,-0.653295338,-0.513090253,25.75757576,25.75757576,25.75757576,8.108108108,8.108108108,-36227.0,-36386.0,-18797.0,-18797.0,-9999.0
American Samoa,ASM,65.68461538461538,,,,,1.166080236,1.145717978,1.09160161,1.068576336,1.128859043,1.296713471,1.268459797,1.119430304,1.138901711,1.221117854,2109500.0,2407500.0,2217175.0,2696550.0,2823475.0,80.22857142857143,,,,,76179.33333333333,74330.33333333333,73697.66666666667,73941.66666666667,74576.0,0.0260966119999999,1.323771,0.952043474,0.960498691,0.95764786,1.780909538,1.780709863,1.266005278,1.279871821,1.27020359,,4.239130434782608,,,,0.498739511,0.490093946,0.632899344,0.639231384,0.667918146,28.95021645,36.093073595,36.093073595,27.268339769,27.268339769,-1652.0,-1650.0,-1636.0,-1646.0,-810.0
Andorra,AND,67.57692307692308,,,,,1.391008735,1.577211499,1.588571787,1.581067443,1.587736487,1.536625862,1.510484815,1.61627841,1.64212966,1.48544991,1946666.6666666665,2212333.333333333,1773900.0,2157400.0,2260300.0,78.49285714285715,,,,,58017.66666666666,50061.66666666666,49744.333333333336,49993.333333333336,50045.0,1.047321677,1.108411908,1.086253405,1.033412814,1.102832913,1.179165602,1.176592231,1.266005278,1.279871821,1.27020359,,4.108695652173913,,,,1.879265428,1.852065086,1.749414086,1.749253273,1.495304942,32.14285714,46.42857143,46.42857143,46.42857143,46.42857143,1184.0,1238.0,1474.0,1377.0,200.0
Angola,AGO,69.46923076923076,,,,,-0.347750902,-0.370094687,-0.600726008,-0.709369481,-0.64624089,-1.000932217,-1.025190949,-0.950999379,-0.984480023,-1.021904588,1783833.3333333333,2017166.6666666667,1330625.0,1618250.0,1697125.0,76.75714285714285,,,,,39856.0,25793.0,25791.0,26045.0,25514.0,-0.903365195,-0.793237388,-0.816002846,-0.85489428,-0.797131121,-1.199250937,-1.058417916,-0.938672543,-0.651610196,-0.601941288,,3.978260869565217,,,,-1.005115032,-1.128562331,-1.258393884,-1.128076315,-1.040429354,30.45454545,30.0,30.0,29.54545455,33.63636364,61632.0,58986.0,7557.0,29089.0,-1000.0
Antigua and Barbuda,ATG,71.36153846153846,,,,,0.822919726,0.937967896,0.929504931,0.949530005,0.943862259,0.376565635,0.363741606,0.407973528,0.303531021,0.391315579,1621000.0,1822000.0,887350.0,1079100.0,1133950.0,75.02142857142857,,,,,21649.0,14825.0,14878.0,15047.5,14804.0,0.579138517,0.731873512,0.742793262,0.730730891,0.721560717,0.236239702,0.239498109,0.238533273,0.231979251,0.310604453,,3.8478260869565215,,,,-0.053470802,-0.05469453,-0.204486713,-0.193284988,-0.159468576,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,73.25384615384615,,,,,0.006809914,-0.097864307,-0.072026245,0.000468279,-0.009163282,-0.219662562,-0.427303702,-0.487334788,-0.476669818,-0.480682313,1458166.6666666665,1626833.3333333335,444075.0,539950.0,570775.0,73.28571428571429,,,,,3442.0,3857.0,3965.0,4050.0,4094.0,0.539418399,0.571178675,0.585294366,0.611695528,0.543526769,-0.098668173,-0.106940247,-0.163780659,-0.422272921,-0.447030485,,3.717391304347826,,,,0.028094053,-0.120677568,-0.253818214,-0.389672071,-0.282877296,38.91050584,40.15748031,40.85603113,44.74708171,44.74708171,4690.0,4478.0,2344.0,2344.0,3886.0
Armenia,ARM,75.14615384615385,,,,,-0.451120526,-0.420044243,-0.771642268,-0.804036558,-0.797183931,-0.19733353,-0.177528098,-0.125852257,-0.119232148,-0.168567225,1295333.3333333333,1431666.6666666667,800.0,800.0,7600.0,71.55,,,,,17966.0,17980.0,107910.0,34728.0,34634.0,-0.130894393,0.054725666,0.047159709,0.054073099,0.08823394,-0.40889135,-0.226975173,-0.0034387,0.048978329,0.028035237,,3.5869565217391304,1.3,,,-0.170385882,-0.225958586,-0.304616541,-0.281927228,-0.314229518,18.0952381,23.48484848,23.48484848,33.64485981,35.51401869,-25835.0,-25363.0,-12825.0,-12825.0,-5000.0
Aruba,ABW,77.03846153846153,,,,,1.337275505,1.335668564,1.371497393,1.431547046,1.474684358,1.259411931,1.227761626,1.270262361,1.247303724,1.278907537,1132500.0,1236500.0,184350.0,164350.0,170450.0,69.81428571428572,,,,,37450.0,38254.5,82660.5,45167.0,44532.0,1.282692909,1.262557507,1.282142997,1.018640995,1.009181976,1.207429409,1.174702883,1.199391723,0.801610887,0.756784737,,3.4565217391304346,1.28,,,1.013473153,0.987836778,1.075224519,1.084040165,1.105333328,23.380952385,26.97421232,26.97421232,32.38534381,36.96230736,367.0,412.0,0.0,501.0,164.0
