Country Name,Country Code,Population,Quality of Life (Numbeo 2023) ,Rank
Afghanistan,AFG,42239854.0,,
Angola,AGO,36684202.0,,
Albania,ALB,2745972.0,,
Andorra,AND,80088.0,,
United Arab Emirates,ARE,9516871.0,173.8,15.0
Argentina,ARG,46654581.0,110.2,58.0
Armenia,ARM,2777970.0,,
Australia,AUS,26638544.0,165.7,21.0
Austria,AUT,9132383.0,183.3,8.0
Azerbaijan,AZE,10112555.0,108.5,60.0
Burundi,BDI,13238559.0,,
Belgium,BEL,11822592.0,156.4,26.5
Benin,BEN,13712828.0,,
Burkina Faso,BFA,23251485.0,,
Bangladesh,BGD,172954319.0,69.5,82.0
Bulgaria,BGR,6430370.0,131.4,43.0
Bahrain,BHR,1485509.0,,
Belarus,BLR,9178298.0,117.0,52.0
Belize,BLZ,410825.0,,
Bolivia,BOL,12388571.0,,
Brazil,BRA,216422446.0,106.8,62.0
Barbados,BRB,281995.0,,
Bhutan,BTN,787424.0,,
Botswana,BWA,2675352.0,,
Central African Republic,CAF,5742315.0,,
Canada,CAN,40097761.0,156.4,26.5
Switzerland,CHE,8849852.0,185.8,6.0
Chile,CHL,19629590.0,99.1,70.0
China,CHN,1410710000.0,105.1,64.0
Cameroon,CMR,28647293.0,,
Colombia,COL,52085168.0,99.2,69.0
Comoros,COM,852075.0,,
Costa Rica,CRI,5212173.0,,
Cuba,CUB,11194449.0,,
Cyprus,CYP,1260138.0,146.5,35.0
Germany,DEU,84482267.0,176.0,12.0
Djibouti,DJI,1136455.0,,
Dominica,DMA,73040.0,,
Denmark,DNK,5946952.0,190.6,4.0
Dominican Republic,DOM,11332972.0,,
Algeria,DZA,45606480.0,,
Ecuador,ECU,18190484.0,119.8,50.0
Eritrea,ERI,3748901.0,,
Spain,ESP,48373336.0,177.7,10.0
Estonia,EST,1366188.0,176.4,11.0
Ethiopia,ETH,126527060.0,,
Finland,FIN,5584264.0,188.1,5.0
Fiji,FJI,936375.0,,
France,FRA,68170228.0,153.2,29.0
Gabon,GAB,2436566.0,,
United Kingdom,GBR,68350000.0,164.2,22.0
Georgia,GEO,3760365.0,116.0,56.0
Ghana,GHA,34121985.0,,
Guinea,GIN,14190612.0,,
Guinea-Bissau,GNB,2150842.0,,
Equatorial Guinea,GNQ,1714671.0,,
Greece,GRC,10361295.0,128.9,46.0
Grenada,GRD,126183.0,,
Greenland,GRL,56865.0,,
Guatemala,GTM,17602431.0,,
Guyana,GUY,813834.0,,
Honduras,HND,10593798.0,,
Croatia,HRV,3853200.0,161.6,24.0
Haiti,HTI,11724763.0,,
Hungary,HUN,9589872.0,131.6,42.0
Indonesia,IDN,277534122.0,92.0,73.0
India,IND,1428627663.0,116.1,55.0
Ireland,IRL,5262382.0,153.2,29.0
Iraq,IRQ,45504560.0,,
Iceland,ISL,393600.0,191.1,3.0
Israel,ISR,9756700.0,147.2,34.0
Italy,ITA,58761146.0,140.3,37.0
Jamaica,JAM,2825544.0,,
Jordan,JOR,11337052.0,116.3,54.0
Japan,JPN,124516650.0,175.5,13.0
Kazakhstan,KAZ,19900177.0,96.5,72.0
Kenya,KEN,55100586.0,103.5,67.0
Cambodia,KHM,16944826.0,,
Kiribati,KIR,133515.0,,
Kuwait,KWT,4310108.0,129.7,45.0
Lebanon,LBN,5353930.0,82.4,76.0
Liberia,LBR,5418377.0,,
Libya,LBY,6888388.0,,
Liechtenstein,LIE,39584.0,,
Sri Lanka,LKA,22037000.0,76.5,80.0
Lesotho,LSO,2330318.0,,
Lithuania,LTU,2871897.0,160.4,25.0
Luxembourg,LUX,668606.0,200.1,1.5
Latvia,LVA,1881750.0,152.6,31.0
Morocco,MAR,37840044.0,104.7,65.0
Monaco,MCO,36297.0,,
Moldova,MDA,2486891.0,,
Madagascar,MDG,30325732.0,,
Maldives,MDV,521021.0,,
Mexico,MEX,128455567.0,125.0,47.0
Marshall Islands,MHL,41996.0,,
North Macedonia,MKD,1811980.0,109.4,59.0
Mali,MLI,23293698.0,,
Malta,MLT,553214.0,121.8,49.0
Myanmar,MMR,54577997.0,,
