Country Name,Country Code,Series Name,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,Access to electricity (% of population),100,100,100,100,100
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),..,..,..,71.63,..
Argentina,ARG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),38.7727308,39.04418575,39.30133787,36.56051927,..
Argentina,ARG,"Air transport, passengers carried",18084553,19461377,3680874,6708097,..
Argentina,ARG,Compensation of employees (current LCU),3.87E+11,5.31E+11,6.83E+11,1.07E+12,1.98E+12
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",..,..,70.1,..,..
Argentina,ARG,Control of Corruption: Estimate,-0.098668173,-0.106940247,-0.163780659,-0.422272921,-0.447030485
Argentina,ARG,Cost of business start-up procedures (% of GNI per capita),5.3,5,..,..,..
Argentina,ARG,"Current education expenditure, total (% of total expenditure in public institutions)",97.4406662,98.22975922,98.14528656,95.900177,..
Argentina,ARG,Current health expenditure (% of GDP),10.29146862,10.04194355,10.34701538,9.70880699,..
Argentina,ARG,Forest area (% of land area),10.52037315,10.48017861,10.44071488,10.40076395,..
Argentina,ARG,Fossil fuel energy consumption (% of total),..,..,..,..,..
Argentina,ARG,Gini index,41.7,43.3,42.7,42.4,40.7
Argentina,ARG,Government Effectiveness: Estimate,0.028094053,-0.120677568,-0.253818214,-0.389672071,-0.282877296
Argentina,ARG,"Hospital beds (per 1,000 people)",3.71,3.71,3.2,3.34,..
Argentina,ARG,Human capital index (HCI) (scale 0-1),0.617366731,..,0.602144718,..,..
Argentina,ARG,"Immunization, DPT (% of children ages 12-23 months)",86,83,74,81,81
Argentina,ARG,"Immunization, HepB3 (% of one-year-old children)",86,83,74,81,81
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",94,86,77,86,83
Argentina,ARG,Individuals using the Internet (% of population),77.7,79.947,85.5144,87.1507,88.3754
Argentina,ARG,"Inflation, consumer prices (annual %)",..,..,..,..,..
