Country Name,Country Code,"Immunization, DPT (% of children ages 12-23 months)_2018","Immunization, DPT (% of children ages 12-23 months)_2019","Immunization, DPT (% of children ages 12-23 months)_2020","Immunization, DPT (% of children ages 12-23 months)_2021","Immunization, DPT (% of children ages 12-23 months)_2022",Current health expenditure (% of GDP)_2018,Current health expenditure (% of GDP)_2019,Current health expenditure (% of GDP)_2020,Current health expenditure (% of GDP)_2021,Current health expenditure (% of GDP)_2022,Out-of-pocket expenditure (% of current health expenditure)_2018,Out-of-pocket expenditure (% of current health expenditure)_2019,Out-of-pocket expenditure (% of current health expenditure)_2020,Out-of-pocket expenditure (% of current health expenditure)_2021,Out-of-pocket expenditure (% of current health expenditure)_2022,"Immunization, measles (% of children ages 12-23 months)_2018","Immunization, measles (% of children ages 12-23 months)_2019","Immunization, measles (% of children ages 12-23 months)_2020","Immunization, measles (% of children ages 12-23 months)_2021","Immunization, measles (% of children ages 12-23 months)_2022","Life expectancy at birth, total (years)_2018","Life expectancy at birth, total (years)_2019","Life expectancy at birth, total (years)_2020","Life expectancy at birth, total (years)_2021","Life expectancy at birth, total (years)_2022","Survival to age 65, male (% of cohort)_2018","Survival to age 65, male (% of cohort)_2019","Survival to age 65, male (% of cohort)_2020","Survival to age 65, male (% of cohort)_2021","Survival to age 65, male (% of cohort)_2022","Survival to age 65, female (% of cohort)_2018","Survival to age 65, female (% of cohort)_2019","Survival to age 65, female (% of cohort)_2020","Survival to age 65, female (% of cohort)_2021","Survival to age 65, female (% of cohort)_2022"
Afghanistan,AFG,72.0,72.0,70.0,66.0,69.0,14.20841885,14.83131981,15.53361416,21.82794952,,76.22302246,76.818367,74.81396484,77.21405029,,71.0,64.0,66.0,63.0,68.0,63.081,63.565,62.575,61.982,62.879,54.647829,55.972735,53.562234,51.520426,52.99077,68.448803,68.843426,65.799993,65.217377,66.852465
Albania,ALB,99.0,99.0,98.0,98.0,97.0,6.66844559,6.86214113,7.51920271,7.26731825,,56.41465378,56.41222382,59.39613342,59.70423508,,94.0,95.0,91.0,87.0,86.0,79.184,79.282,76.989,76.463,76.833,85.765544,86.047386,81.703058,80.5539,81.240663,91.939293,91.975256,90.241719,89.363323,89.707203
Algeria,DZA,91.0,88.0,84.0,81.0,77.0,6.38729763,5.86751413,6.14268684,5.5283432,,31.57363319,35.46131516,37.33710861,38.53033829,,80.0,80.0,80.0,79.0,79.0,76.066,76.474,74.453,76.377,77.129,82.77979,83.123122,79.880051,82.687117,84.018003,86.97482,87.58892,85.163215,87.70347,88.46934
American Samoa,ASM,95.0,93.5,91.5,90.0,87.5,6.88135743,6.5953800650000005,7.464713095,6.93141842,,21.95597076,24.10178185,24.244093895,25.13421202,,89.5,89.5,89.0,89.0,88.5,71.42533333333333,71.79866666666666,70.38900000000001,71.46566666666666,72.06233333333334,72.356987,71.791526,72.321836,70.447406,72.375006,82.951049,82.835237,82.900723,85.086998,83.484592
Andorra,AND,99.0,99.0,99.0,99.0,98.0,7.37541723,7.323246,8.78673935,8.33449364,,12.33830833,12.74224854,11.15107918,11.73808575,,99.0,99.0,98.0,99.0,98.0,66.78466666666667,67.12333333333333,66.325,66.55433333333333,66.99566666666666,90.793387,90.825976,81.951861,84.126321,91.456135,94.634604,94.634604,91.74041,92.802338,94.899708
Angola,AGO,63.0,57.0,51.0,45.0,42.0,2.58879566,2.47517991,3.22070646,2.96010613,,36.2641983,33.0570755,27.72385979,23.413311,,50.0,51.0,44.0,36.0,37.0,62.144,62.448,62.261,61.643,61.929,53.916247,54.494128,53.166326,51.280449,52.233344,65.186505,65.323119,65.265071,63.523185,64.128014
Antigua and Barbuda,ATG,95.0,95.0,96.0,92.0,99.0,4.84869289,4.37567186,5.92146206,5.85133028,,23.66021156,24.26510048,21.96622849,19.15764618,,96.0,93.0,89.0,85.0,99.0,78.511,78.691,78.841,78.497,79.236,81.258541,81.73869,82.169251,82.547256,82.335097,88.9027,89.224613,89.525039,89.700867,89.522211
Argentina,ARG,86.0,83.0,74.0,81.0,81.0,10.29146862,10.04194355,10.34701538,9.70880699,,25.13258934,23.94149971,21.75679016,22.36627579,,94.0,86.0,77.0,86.0,83.0,76.999,77.284,75.892,75.39,76.064,77.969309,78.412194,76.217396,76.225132,77.204765,87.744382,88.20058,85.499563,85.105289,86.051875
Armenia,ARM,92.0,92.0,91.0,93.0,93.0,10.01,11.38,12.24,12.34,,84.28,84.79,77.85,78.66,,95.0,95.0,94.0,94.0,95.0,75.064,75.439,72.173,72.043,73.372,71.286835,72.177495,61.907449,60.444586,64.400285,88.967844,89.283305,84.736793,85.137742,86.906347
Aruba,ABW,93.5,93.5,93.0,94.0,93.5,10.034859545,10.799829905,11.4618684,11.44181959,,50.262136115,49.76198389,46.381321715,46.242486075,,94.5,94.5,93.5,93.5,95.5,76.072,76.248,75.723,74.626,74.992,79.37593,79.775203,79.239306,77.12472,77.732104,88.851646,89.079338,88.536413,86.845804,87.367715
Australia,AUS,95.0,95.0,95.0,95.0,94.0,10.05971909,10.21965981,10.6837368,10.54363918,,16.24427223,14.73396778,14.91264343,13.82497215,,94.0,94.0,93.0,93.0,96.0,82.74878049,82.9,83.2,83.3,83.2,88.827328,88.147374,92.231287,92.926574,89.287141,93.234961,92.968392,94.398383,94.804253,93.468752
Austria,AUT,85.0,85.0,85.0,86.0,84.0,10.35,10.49,11.39,12.1,,18.43,17.92,16.65,15.78,,94.0,95.0,95.0,99.0,95.0,81.69268293,81.89512195,81.19268293,81.1902439,81.09268293,87.028248,87.575718,87.392972,86.806294,88.047364,92.823711,93.073777,93.234139,93.190064,93.368196
Azerbaijan,AZE,95.0,94.0,79.0,89.0,83.0,3.84,4.18,5.85,4.7,,73.39,71.34,57.83,66.03,,96.0,98.0,82.0,93.0,93.0,72.76,73.102,66.868,69.366,73.488,72.377426,73.381106,54.801393,59.929412,73.805811,84.487136,84.629933,75.30816,79.148777,85.227334
"Bahamas, The",BHS,90.0,89.0,83.0,86.0,87.0,5.98263836,5.82275152,7.64700842,7.13872051,,27.65998459,26.66314316,21.76495934,24.45867538,,89.0,83.0,87.0,82.0,80.0,73.806,71.205,72.677,71.598,74.358,68.749512,66.493093,66.921059,65.068436,69.699465,81.654911,76.124187,80.47779,78.767513,82.361763
Bahrain,BHR,99.0,99.0,98.0,98.0,97.0,4.12745667,3.95980334,4.71684837,4.26834059,,30.00357628,29.97935486,26.246315,23.04768944,,99.0,99.0,99.0,99.0,99.0,79.857,80.019,79.174,78.76,79.246,89.03996,89.279293,88.873736,88.530469,88.975244,91.216093,91.342486,90.909328,90.602161,90.986158
Bangladesh,BGD,98.0,98.0,98.0,98.0,98.0,2.31622243,2.25762248,2.27063942,2.36492991,,70.67902374,72.05020905,74.00198364,72.9874649,,97.0,97.0,97.0,97.0,97.0,72.567,72.806,71.968,72.381,73.698,74.908517,74.527276,74.108198,72.618675,75.779057,82.063404,83.063248,79.535628,79.283337,84.183563
Barbados,BRB,95.0,90.0,85.0,82.0,86.0,6.45336485,6.20015001,7.37276554,8.09043312,,45.89333344,46.69363785,42.92656708,38.91783905,,85.0,92.0,89.0,77.0,85.0,77.067,77.257,77.393,77.571,77.706,81.149229,81.41558,81.647407,81.948644,82.145374,87.422863,87.597616,87.729218,87.913897,88.191229
