country,StandardOfLiving_QoLScoreNumbeo_2024MidYear,StandardOfLiving_QoLScoreUSNews_2023,StandardOfLiving_QoLScoreCEOWorld_2024,StandardOfLiving_HDIScoreUN_2022,StandardOfLiving_QoLScoreNumbeo_2023MidYear,StandardOfLiving_QoLRankUSNews_2022,StandardOfLiving_QoLScoreCEOWorld_2021,StandardOfLiving_HDIScoreUN_2021
India,123.8,19,60.81,0.644,116.1,38,82.95,0.633
China,116.4,76.1,77.97,0.788,105.1,23,82.8,0.768
United States,185.1,49.1,96.65,0.927,173,20,89.11,0.921
Indonesia,98.6,20,65.9,0.713,92,35,78.86,0.705
Pakistan,104.5,,52.98,0.54,101.4,,57.18,0.544
Nigeria,42.7,,55.2,0.548,49.5,,75.49,0.535
Brazil,113.5,17,74.22,0.76,106.8,52,82.38,0.754
Bangladesh,72.6,11.4,60.87,0.67,69.5,,77.22,0.661
Russia,111.2,14.5,78.84,0.821,104.2,31,82.06,0.829
Ethiopia,,,53.56,0.492,,,73.05,0.498
Mexico,126.6,18.5,79.93,0.781,125,41,81.46,0.758
Japan,183.8,69.6,88.04,0.92,175.5,13,91.23,0.925
Egypt,86,13.8,63.27,0.728,88.6,51,77.28,0.731
Philippines,90.8,20.3,63.57,0.71,82.1,39,82.48,0.699
DR Congo,,,48.39,0.481,,,70.36,0.479
Vietnam,97.2,20.5,64.17,0.726,89.3,32,78.49,0.703
Iran,80.4,0.8,64.09,0.78,77.6,,73.08,0.774
Turkey,128.8,25.6,79.48,0.855,118.3,40,78.72,0.838
Germany,185,85.8,92.58,0.95,176,9,91.26,0.942
Thailand,98.4,24.8,70.72,0.803,98.5,29,82.69,0.8
United Kingdom,170.6,73.9,92.26,0.94,164.2,14,90.68,0.929
Tanzania,,,52.01,0.532,,,75.11,0.549
France,159.8,59.6,91.28,0.91,153.2,17,92.08,0.903
South Africa,147.1,12.7,68.5,0.717,136.9,,77.94,0.713
Italy,145.6,51.4,90.32,0.906,140.3,22,86.85,0.895
Kenya,106.4,7.3,57.86,0.601,103.5,69,74.8,0.575
Myanmar,5.4,,52.67,0.608,,67,71.38,0.585
Colombia,106.5,8.6,70.27,0.758,99.2,60,77.16,0.752
South Korea,149.5,45.2,87.99,0.929,138.1,18,89.67,0.925
Sudan,,,46.84,0.516,,,31.67,0.508
Uganda,,,51.56,0.55,,,73.21,0.525
Spain,180.8,59,87.76,0.911,177.7,19,87.62,0.905
Algeria,,4.1,65.77,0.745,,,80.96,0.745
Iraq,,,68.16,0.673,,78,74.89,0.686
Argentina,116.1,17.5,79.39,0.849,110.2,59,81.93,0.842
Afghanistan,,,46.52,0.462,,,68.5,0.478
Yemen,,,47.83,0.424,,,69.43,0.455
Canada,161.3,92.7,94.02,0.935,156.4,100,90.3,0.936
Poland,149.3,49.4,84.57,0.881,139.6,25,81.82,0.876
Morocco,111.9,16,63.92,0.698,104.7,47,79.69,0.683
Angola,,,59.97,0.591,,,72.57,0.586
Ukraine,110.7,,65.96,0.734,107.3,61,78.86,0.773
Uzbekistan,,3.2,59.6,0.727,,76,74.79,0.727
Malaysia,133.5,26.4,79.28,0.807,123.4,28,82.34,0.803
Mozambique,,,48.3,0.461,,,64.71,0.446
Ghana,,6.6,58.5,0.602,,,72.03,0.632
Peru,84.6,10.5,71.85,0.762,80.3,57,78.77,0.762
Saudi Arabia,170.5,27.6,87.61,0.875,150.7,33,77.75,0.875
Madagascar,,,46.8,0.487,,,59.95,0.501
Ivory Coast,,,61.5,0.534,,,70.14,0.55
Nepal,,,52.15,0.601,,,75.66,0.602
Cameroon,,5.2,54.86,0.587,,,70.61,0.576
Venezuela,,,62.64,0.699,74.4,,73.66,0.691
Niger,,,48.18,0.394,,,49.43,0.4
Australia,185.5,86.8,96.34,0.946,165.7,6,88.23,0.951
North Korea,,,48.36,,,,,
Syria,,,47.04,0.557,,,31.55,0.577
Mali,,,50.46,0.41,,,68.09,0.428
Burkina Faso,,,49.54,0.438,,,64.42,0.449
Taiwan,158.5,,86.61,,144.9,,,
Sri Lanka,75.2,8.9,62.39,0.78,76.5,58,73.16,0.782
Malawi,,,47.4,0.508,,,42.25,0.512
Zambia,,,53.59,0.569,,,,0.565
Kazakhstan,102,3.8,78.34,0.802,96.5,71,75.45,0.811
Chad,,,48.6,0.394,,,58.23,0.394
Chile,103.3,13.5,81.28,0.86,99.1,43,77.42,0.855
Romania,137.4,18.8,81.58,0.827,129.9,44,79.08,0.821
Somalia,,,48.82,0.38,,,,
Senegal,,,53.92,0.517,,,,0.511
Guatemala,,5.4,66.28,0.629,,64,74.11,0.627
Netherlands,207.5,87.7,95.95,0.946,200.1,7,93.69,0.941
Ecuador,122.3,7.8,69.03,0.765,119.8,65,75.52,0.74
Cambodia,,12.2,55.89,0.6,,49,69.18,0.593
Zimbabwe,,4.8,57.54,0.55,,,70.64,0.593
Guinea,,,53.85,0.471,,,60.96,0.465
Benin,,,52.92,0.504,,,53.41,0.525
Rwanda,,,51.08,0.548,,,51.26,0.534
Burundi,,,45.68,0.42,,,36.55,0.426
